,quad,year,trackID,area.t1,area.t0,age,allEdge,distEdgeMin,QuadName,Grazing,Group
9,Q1,33,6,39.95758545,134.9227374,1,0,11.67812301,E1 Q1,UG,E1
15,Q1,34,6,79.88755973,39.95758545,2,0,20.56658862,E1 Q1,UG,E1
23,Q1,35,6,89.32299194,79.88755973,3,0,17.54832303,E1 Q1,UG,E1
30,Q1,36,6,188.8669991,89.32299194,4,0,12.54221753,E1 Q1,UG,E1
37,Q1,37,6,189.228045,188.8669991,5,0,6.854438635,E1 Q1,UG,E1
43,Q1,38,6,68.80022463,189.228045,6,0,4.894639391,E1 Q1,UG,E1
10,Q1,33,7,53.49403716,21.36948194,1,0,5.851367513,E1 Q1,UG,E1
16,Q1,34,7,145.3577505,53.49403716,2,0,0.281508174,E1 Q1,UG,E1
24,Q1,35,7,86.6712114,145.3577505,3,0,5.79831131,E1 Q1,UG,E1
31,Q1,36,7,172.0283149,86.6712114,4,0,5.930048803,E1 Q1,UG,E1
38,Q1,37,7,224.7752384,172.0283149,5,0,5.37299565,E1 Q1,UG,E1
44,Q1,38,7,230.1078356,224.7752384,6,0,1.47E-08,E1 Q1,UG,E1
49,Q1,39,7,212.9235185,230.1078356,7,0,0.259426909,E1 Q1,UG,E1
54,Q1,40,7,186.8428105,212.9235185,8,0,0.061673004,E1 Q1,UG,E1
59,Q1,41,7,90.16278193,186.8428105,9,0,0.220142548,E1 Q1,UG,E1
65,Q1,45,7,179.6520479,207.7260076,13,0,4.098419882,E1 Q1,UG,E1
70,Q1,46,7,175.8534589,179.6520479,14,0,4.632709702,E1 Q1,UG,E1
74,Q1,49,7,182.6050728,306.1258401,17,0,-2.20E-08,E1 Q1,UG,E1
81,Q1,50,7,122.3332007,182.6050728,18,0,-6.37E-09,E1 Q1,UG,E1
87,Q1,51,7,258.0639995,122.3332007,19,0,0.392893289,E1 Q1,UG,E1
91,Q1,54,7,210.5236322,91.56795814,22,0,0.036855802,E1 Q1,UG,E1
95,Q1,55,7,239.3750303,210.5236322,23,0,0.0340363,E1 Q1,UG,E1
17,Q1,34,9,109.4022564,55.46462314,1,0,1.40E-08,E1 Q1,UG,E1
25,Q1,35,9,23.31318772,109.4022564,2,0,-9.78E-09,E1 Q1,UG,E1
32,Q1,36,9,23.91582625,23.31318772,3,0,1.42600662,E1 Q1,UG,E1
19,Q1,35,11,27.60757935,10.99469563,1,0,-7.08E-09,E1 Q1,UG,E1
62,Q1,45,23,0.958234341,0.25,1,0,7.976587852,E1 Q1,UG,E1
67,Q1,46,23,2.186924546,0.958234341,2,0,6.317598019,E1 Q1,UG,E1
76,Q1,50,23,4.217840207,3.607091344,6,0,7.016714433,E1 Q1,UG,E1
83,Q1,51,23,11.90617987,4.217840207,7,0,6.033284733,E1 Q1,UG,E1
89,Q1,54,23,42.97447126,51.17797086,10,0,-1.20E-08,E1 Q1,UG,E1
93,Q1,55,23,54.84447364,42.97447126,11,0,7.17917065,E1 Q1,UG,E1
77,Q1,50,26,30.7117206,58.11580941,1,0,-1.80E-08,E1 Q1,UG,E1
78,Q1,50,27,15.98349039,14.79885998,1,0,1.13E-08,E1 Q1,UG,E1
84,Q1,51,27,48.10592588,15.98349039,2,1,1.17E-08,E1 Q1,UG,E1
96,Q10,30,6,193.5821559,86.31221572,1,0,27.0552332,P1 E1 Q4,UG,P1E1
97,Q10,31,6,208.6057046,193.5821559,2,0,27.43899099,P1 E1 Q4,UG,P1E1
98,Q10,32,6,295.137001,208.6057046,3,0,21.40395973,P1 E1 Q4,UG,P1E1
99,Q10,33,6,166.1090483,295.137001,4,0,18.7080785,P1 E1 Q4,UG,P1E1
100,Q10,34,6,260.6166643,166.1090483,5,0,24.408941,P1 E1 Q4,UG,P1E1
101,Q10,35,6,319.0675325,260.6166643,6,0,21.1755863,P1 E1 Q4,UG,P1E1
103,Q10,36,6,379.4415016,319.0675325,7,0,19.23466675,P1 E1 Q4,UG,P1E1
106,Q10,37,6,389.0535016,379.4415016,8,0,19.3357777,P1 E1 Q4,UG,P1E1
110,Q10,38,6,366.0778578,389.0535016,9,0,18.09076834,P1 E1 Q4,UG,P1E1
114,Q10,39,6,426.5780746,366.0778578,10,0,17.90888549,P1 E1 Q4,UG,P1E1
118,Q10,40,6,513.7907811,426.5780746,11,0,13.32640193,P1 E1 Q4,UG,P1E1
121,Q10,41,6,304.3318291,513.7907811,12,0,5.0040941,P1 E1 Q4,UG,P1E1
104,Q10,36,8,19.66159276,12.28094232,3,0,2.87682925,P1 E1 Q4,UG,P1E1
107,Q10,37,8,32.78821088,19.66159276,4,0,2.4121316,P1 E1 Q4,UG,P1E1
111,Q10,38,8,20.20236645,32.78821088,5,0,0.877358156,P1 E1 Q4,UG,P1E1
115,Q10,39,8,22.89594833,20.20236645,6,0,1.980705058,P1 E1 Q4,UG,P1E1
119,Q10,40,8,24.52787384,22.89594833,7,0,2.924719101,P1 E1 Q4,UG,P1E1
122,Q10,41,8,26.11442491,24.52787384,8,0,0.502579265,P1 E1 Q4,UG,P1E1
108,Q10,38,18,20.4183193,25.0348933,3,1,5.59E-09,P1 E1 Q4,UG,P1E1
112,Q10,39,18,5.536759281,20.4183193,4,1,-1.22E-08,P1 E1 Q4,UG,P1E1
116,Q10,40,18,15.90261218,5.536759281,5,1,-8.22E-09,P1 E1 Q4,UG,P1E1
102,Q10,36,19,0.25,0.25,1,0,10.24009957,P1 E1 Q4,UG,P1E1
105,Q10,37,19,8.616626461,0.25,2,0,8.929837071,P1 E1 Q4,UG,P1E1
109,Q10,38,19,6.886624972,8.616626461,3,0,6.942362831,P1 E1 Q4,UG,P1E1
113,Q10,39,19,12.57693554,6.886624972,4,0,7.744771429,P1 E1 Q4,UG,P1E1
117,Q10,40,19,26.79269932,12.57693554,5,0,4.783569869,P1 E1 Q4,UG,P1E1
120,Q10,41,19,40.66924279,26.79269932,6,0,3.069737856,P1 E1 Q4,UG,P1E1
123,Q11,30,8,24.06101021,9.460255925,1,0,3.8881027,P1 Q1,G,P1
124,Q11,31,8,27.88328375,24.06101021,2,0,2.974514417,P1 Q1,G,P1
126,Q11,32,8,94.53687482,27.88328375,3,0,8.9983605,P1 Q1,G,P1
128,Q11,33,8,16.77220668,94.53687482,4,0,-1.35E-08,P1 Q1,G,P1
125,Q11,31,9,100.8718423,21.51352865,1,0,0.228158152,P1 Q1,G,P1
127,Q11,32,9,84.86145535,100.8718423,2,0,0.0174613,P1 Q1,G,P1
129,Q11,35,9,70.35822736,72.3951501,5,0,-1.77E-08,P1 Q1,G,P1
130,Q11,36,9,72.83767846,70.35822736,6,0,0.37115115,P1 Q1,G,P1
131,Q11,37,9,28.3604123,72.83767846,7,0,0.386648,P1 Q1,G,P1
132,Q11,38,9,73.85224022,28.3604123,8,1,0.16264255,P1 Q1,G,P1
133,Q11,39,9,78.06032942,73.85224022,9,0,0.23610505,P1 Q1,G,P1
134,Q11,40,9,55.60497132,78.06032942,10,0,0.0999144,P1 Q1,G,P1
135,Q11,41,9,56.52976952,55.60497132,11,0,0.2287394,P1 Q1,G,P1
136,Q11,45,9,148.79222,172.9683106,15,0,0.57629255,P1 Q1,G,P1
137,Q11,46,9,150.6025002,148.79222,16,0,1.87E-08,P1 Q1,G,P1
138,Q11,49,9,85.56197559,84.29107608,19,0,4.25E-09,P1 Q1,G,P1
139,Q11,56,30,165.333017,85.5264213,1,0,2.69662145,P1 Q1,G,P1
140,Q11,56,31,45.82043314,15.23008929,1,0,15.063066,P1 Q1,G,P1
142,Q12,30,9,14.20403383,12.75402524,1,0,19.392516,P1 Q2,G,P1
144,Q12,31,9,0.25,14.20403383,2,0,19.67931598,P1 Q2,G,P1
146,Q12,32,9,5.483769439,0.25,3,0,21.41991052,P1 Q2,G,P1
141,Q12,30,10,12.52645408,1.757924573,1,0,39.63346365,P1 Q2,G,P1
143,Q12,31,10,0.25,12.52645408,2,0,39.01800897,P1 Q2,G,P1
145,Q12,32,10,40.23069333,0.25,3,0,36.50243944,P1 Q2,G,P1
147,Q12,33,10,17.74105539,40.23069333,4,0,39.7128371,P1 Q2,G,P1
148,Q12,34,10,64.06461618,17.74105539,5,0,39.82307615,P1 Q2,G,P1
149,Q12,35,10,73.75336665,64.06461618,6,0,36.74824102,P1 Q2,G,P1
150,Q12,36,10,43.87382693,73.75336665,7,0,35.42946055,P1 Q2,G,P1
151,Q12,37,10,66.65073216,43.87382693,8,0,28.6631043,P1 Q2,G,P1
154,Q12,40,10,56.46772417,88.03584396,11,0,21.2550566,P1 Q2,G,P1
152,Q12,38,18,1.701134988,4.287215115,3,0,34.2239988,P1 Q2,G,P1
153,Q12,39,23,0.25,0.25,1,1,2.045837846,P1 Q2,G,P1
155,Q12,45,24,64.15663597,75.23629377,1,0,18.6322019,P1 Q2,G,P1
156,Q12,46,24,29.6523435,64.15663597,2,0,20.4953035,P1 Q2,G,P1
157,Q12,49,25,238.0155142,248.8742972,4,0,3.34E-09,P1 Q2,G,P1
159,Q12,50,25,285.5080156,238.0155142,5,0,-1.75E-08,P1 Q2,G,P1
160,Q12,51,25,444.2406319,285.5080156,6,0,2.54E-09,P1 Q2,G,P1
162,Q12,54,25,432.0322535,338.4488639,9,0,-1.83E-08,P1 Q2,G,P1
165,Q12,55,25,0.25,432.0322535,10,0,-4.44E-09,P1 Q2,G,P1
168,Q12,56,25,20.49179468,0.25,11,0,6.44066285,P1 Q2,G,P1
158,Q12,49,27,95.20461675,73.38827518,3,0,3.136276913,P1 Q2,G,P1
163,Q12,54,50,0.25,0.25,3,0,19.1740113,P1 Q2,G,P1
164,Q12,54,60,0.25,0.25,3,0,25.27661834,P1 Q2,G,P1
166,Q12,55,60,0.25,0.25,4,0,27.04917146,P1 Q2,G,P1
161,Q12,54,115,0.25,0.25,3,0,21.2248449,P1 Q2,G,P1
167,Q12,56,179,21.06060614,0.25,1,0,21.80123083,P1 Q2,G,P1
169,Q13,30,11,16.13917825,6.228319729,1,0,8.26501205,P1 Q3,G,P1
171,Q13,31,11,47.39093448,16.13917825,2,0,8.538423,P1 Q3,G,P1
173,Q13,32,11,25.02694854,47.39093448,3,0,5.40842535,P1 Q3,G,P1
175,Q13,33,11,13.81229673,25.02694854,4,0,5.66654565,P1 Q3,G,P1
177,Q13,34,11,8.73201474,13.81229673,5,0,3.63640345,P1 Q3,G,P1
170,Q13,30,12,12.48683251,6.006658499,1,0,31.3762371,P1 Q3,G,P1
172,Q13,31,12,0.25,12.48683251,2,0,30.9356496,P1 Q3,G,P1
174,Q13,32,12,54.08988405,0.25,3,0,31.59823162,P1 Q3,G,P1
176,Q13,33,12,28.9687776,54.08988405,4,0,27.6041027,P1 Q3,G,P1
178,Q13,34,12,30.54288281,28.9687776,5,0,27.9537777,P1 Q3,G,P1
179,Q13,35,12,9.585454666,30.54288281,6,0,28.7359332,P1 Q3,G,P1
180,Q13,46,31,0.25,0.25,1,0,12.87208161,P1 Q3,G,P1
181,Q13,56,41,154.834129,65.15464055,1,0,5.725039427,P1 Q3,G,P1
182,Q13,56,42,17.59443135,3.243841146,1,1,1.79E-08,P1 Q3,G,P1
183,Q13,56,43,46.1904727,20.3989435,1,0,9.088569095,P1 Q3,G,P1
184,Q13,56,44,49.7571239,19.87892482,1,0,11.0583285,P1 Q3,G,P1
185,Q13,56,45,142.1997644,61.49578577,1,0,4.161856609,P1 Q3,G,P1
186,Q13,56,46,73.05456431,50.87034396,1,0,18.16898084,P1 Q3,G,P1
187,Q13,56,47,190.8051643,125.4661537,1,0,17.07253318,P1 Q3,G,P1
188,Q13,56,48,201.8256623,98.60210992,1,0,2.413955824,P1 Q3,G,P1
189,Q14,30,13,3.860028075,3.689336077,1,0,5.0010597,P1 Q4,G,P1
190,Q14,30,15,116.8948449,90.22914211,1,0,15.344116,P1 Q4,G,P1
192,Q14,31,15,163.1772446,116.8948449,2,0,13.34492065,P1 Q4,G,P1
194,Q14,32,15,348.2203222,163.1772446,3,0,15.27791365,P1 Q4,G,P1
196,Q14,33,15,136.0364802,348.2203222,4,0,8.22298006,P1 Q4,G,P1
198,Q14,34,15,322.3069003,136.0364802,5,0,9.767185509,P1 Q4,G,P1
202,Q14,35,15,249.6836845,322.3069003,6,0,6.805955827,P1 Q4,G,P1
207,Q14,36,15,301.5236532,249.6836845,7,0,12.21630584,P1 Q4,G,P1
211,Q14,37,15,238.2906939,301.5236532,8,0,7.548890964,P1 Q4,G,P1
215,Q14,38,15,389.6760311,238.2906939,9,0,2.802295643,P1 Q4,G,P1
220,Q14,39,15,281.3071523,389.6760311,10,0,1.783226103,P1 Q4,G,P1
226,Q14,40,15,142.7158759,281.3071523,11,0,3.051381588,P1 Q4,G,P1
231,Q14,41,15,132.8664766,142.7158759,12,0,10.94433628,P1 Q4,G,P1
235,Q14,45,15,230.5832214,282.9187902,16,0,5.206240951,P1 Q4,G,P1
239,Q14,46,15,181.8803598,230.5832214,17,0,6.00562064,P1 Q4,G,P1
242,Q14,49,15,75.37577304,121.7957377,20,0,14.09853553,P1 Q4,G,P1
191,Q14,30,16,46.0811734,33.84986867,1,0,3.5849199,P1 Q4,G,P1
193,Q14,31,16,54.85423607,46.0811734,2,0,1.778344887,P1 Q4,G,P1
195,Q14,32,16,132.0020662,54.85423607,3,0,3.1351988,P1 Q4,G,P1
197,Q14,33,16,67.09898392,132.0020662,4,0,2.25E-08,P1 Q4,G,P1
199,Q14,34,16,103.1046718,67.09898392,5,0,0.515127688,P1 Q4,G,P1
203,Q14,35,16,92.05992356,103.1046718,6,0,1.094669077,P1 Q4,G,P1
208,Q14,36,16,93.96484694,92.05992356,7,0,0.140913648,P1 Q4,G,P1
212,Q14,37,16,45.60614736,93.96484694,8,0,0.211451122,P1 Q4,G,P1
216,Q14,38,16,18.20712438,45.60614736,9,0,0.174373014,P1 Q4,G,P1
221,Q14,39,16,8.830950119,18.20712438,10,1,0.065423008,P1 Q4,G,P1
200,Q14,34,18,4.934102752,0.25,1,0,21.2778488,P1 Q4,G,P1
204,Q14,35,18,5.710624945,4.934102752,2,0,20.4594363,P1 Q4,G,P1
209,Q14,36,18,2.48390159,5.710624945,3,0,20.34148474,P1 Q4,G,P1
213,Q14,37,18,5.2613685,2.48390159,4,0,19.70719022,P1 Q4,G,P1
217,Q14,38,18,11.19018581,5.2613685,5,0,17.02735819,P1 Q4,G,P1
222,Q14,39,18,17.00235479,11.19018581,6,0,18.52727148,P1 Q4,G,P1
227,Q14,40,18,21.37828058,17.00235479,7,0,13.87618158,P1 Q4,G,P1
232,Q14,41,18,27.00355091,21.37828058,8,0,13.46124097,P1 Q4,G,P1
236,Q14,45,18,160.9377782,148.2166127,12,0,8.159497202,P1 Q4,G,P1
240,Q14,46,18,67.14313769,160.9377782,13,0,8.506705835,P1 Q4,G,P1
243,Q14,49,18,23.82441419,39.82487358,16,0,12.3590019,P1 Q4,G,P1
201,Q14,34,19,2.20689766,0.25,1,0,10.25950035,P1 Q4,G,P1
205,Q14,35,20,1.292729637,2.806786824,1,1,4.22E-09,P1 Q4,G,P1
210,Q14,36,20,5.057398825,1.292729637,2,1,2.35E-08,P1 Q4,G,P1
214,Q14,37,20,6.015363055,5.057398825,3,1,-2.01E-08,P1 Q4,G,P1
218,Q14,38,20,11.67723404,6.015363055,4,1,-1.29E-08,P1 Q4,G,P1
223,Q14,39,20,15.0520054,11.67723404,5,1,0.2096316,P1 Q4,G,P1
228,Q14,40,20,0.25,15.0520054,6,1,0.37350973,P1 Q4,G,P1
233,Q14,41,20,6.852714312,0.25,7,1,0.017026126,P1 Q4,G,P1
237,Q14,45,20,20.04383964,8.154563263,11,1,1.72E-08,P1 Q4,G,P1
241,Q14,46,20,0.931479559,20.04383964,12,1,-1.61E-09,P1 Q4,G,P1
206,Q14,35,21,13.52935765,4.635659862,1,1,4.22E-09,P1 Q4,G,P1
219,Q14,38,33,51.40378402,0.25,1,0,7.157831601,P1 Q4,G,P1
224,Q14,39,33,61.4402419,51.40378402,2,0,2.61E-09,P1 Q4,G,P1
229,Q14,40,33,68.67704422,61.4402419,3,0,-9.02E-09,P1 Q4,G,P1
234,Q14,41,33,10.91457662,68.67704422,4,0,1.92E-08,P1 Q4,G,P1
238,Q14,45,33,19.02168603,14.12214496,8,1,2.28E-08,P1 Q4,G,P1
225,Q14,39,64,0.25,0.25,1,0,13.42674645,P1 Q4,G,P1
230,Q14,40,64,10.96576995,0.25,2,0,13.18562536,P1 Q4,G,P1
244,Q14,56,120,11.22777947,0.299441674,1,0,35.48978005,P1 Q4,G,P1
245,Q14,56,121,32.01418791,60.77913736,1,0,16.59400427,P1 Q4,G,P1
246,Q14,56,122,51.69731302,36.93015283,1,0,5.61453552,P1 Q4,G,P1
247,Q15,30,17,81.3418,26.23095,1,0,1.747668837,P2 Q1,G,P2
255,Q15,31,17,0.25,81.3418,2,0,0.229135646,P2 Q1,G,P2
265,Q15,34,17,36.7151,8.6676,5,0,1.921470894,P2 Q1,G,P2
248,Q15,30,18,10.3018,6.55295,1,0,25.65766884,P2 Q1,G,P2
256,Q15,31,18,0.25,10.3018,2,0,28.37913565,P2 Q1,G,P2
266,Q15,34,18,38.71335,26.15285,5,0,25.12147089,P2 Q1,G,P2
249,Q15,30,19,42.87215,13.04955,1,0,12.79766884,P2 Q1,G,P2
257,Q15,31,19,58.1913,42.87215,2,0,12.75913565,P2 Q1,G,P2
267,Q15,34,19,225.9024906,112.12735,5,0,6.241470894,P2 Q1,G,P2
250,Q15,30,20,154.35965,124.8759,1,0,27.36,P2 Q1,G,P2
258,Q15,31,20,235.58935,154.35965,2,0,25.42434528,P2 Q1,G,P2
268,Q15,34,20,287.4591,200.76725,5,0,22.5,P2 Q1,G,P2
251,Q15,30,21,39.21265,25.6237,1,0,8.97,P2 Q1,G,P2
259,Q15,31,21,0.5,39.21265,2,0,6.115654717,P2 Q1,G,P2
269,Q15,34,21,177.47,74.7046,5,0,6.13,P2 Q1,G,P2
252,Q15,30,22,14.7975,5.3142,1,0,10.27233116,P2 Q1,G,P2
260,Q15,31,22,0.25,14.7975,2,0,7.290864354,P2 Q1,G,P2
270,Q15,34,22,96.3036,35.7922,5,0,6.638529106,P2 Q1,G,P2
253,Q15,30,23,277.1644344,407.6456,1,0,0.002331163,P2 Q1,G,P2
261,Q15,31,23,367.1940864,277.1644344,2,0,0,P2 Q1,G,P2
271,Q15,34,23,501.249,344.9966716,5,0,-2.84E-14,P2 Q1,G,P2
254,Q15,30,24,19.28606224,10.20635,1,0,1.59,P2 Q1,G,P2
262,Q15,31,24,0.229414663,19.28606224,2,0,-5.55E-15,P2 Q1,G,P2
272,Q15,34,24,74.38285,59.6683,5,0,1.94,P2 Q1,G,P2
263,Q15,31,25,0.25,2.9857,1,0,12.76434528,P2 Q1,G,P2
273,Q15,34,25,45.41215,8.72695,4,0,11.55,P2 Q1,G,P2
264,Q15,31,28,0.25,2.28365,1,0,7.794345283,P2 Q1,G,P2
274,Q15,34,28,61.6971,14.5621,4,0,1.38,P2 Q1,G,P2
275,Q15,56,47,83.89746514,476.36255,1,0,0.002717807,P2 Q1,G,P2
276,Q15,56,48,120.73865,274.1497,1,0,2.092717807,P2 Q1,G,P2
277,Q15,56,50,21.3967,54.8424,1,0,1.672328331,P2 Q1,G,P2
278,Q15,56,51,12.70005,20.4424,1,0,1.737282193,P2 Q1,G,P2
279,Q15,56,52,141.8703947,208.0696196,1,0,0,P2 Q1,G,P2
280,Q15,56,53,92.29710866,164.40795,1,0,0.027671669,P2 Q1,G,P2
281,Q15,56,54,55.9188486,78.6789,1,0,0.187282193,P2 Q1,G,P2
282,Q16,30,25,110.9712251,67.40803795,1,0,36.1188496,P2 Q2,G,P2
283,Q16,31,25,174.4237349,110.9712251,2,0,37.12058318,P2 Q2,G,P2
285,Q16,34,25,317.7303062,271.579269,5,0,34.29161914,P2 Q2,G,P2
284,Q16,31,28,0.25,2.732458038,1,0,33.19471055,P2 Q2,G,P2
286,Q16,34,28,63.43559557,24.43854107,4,0,31.03940429,P2 Q2,G,P2
287,Q16,34,29,23.34382495,2.561239258,1,0,19.59885425,P2 Q2,G,P2
288,Q16,34,30,88.15805193,63.26057526,1,1,-1.29E-08,P2 Q2,G,P2
289,Q16,34,31,45.32011609,46.24189806,1,1,0.184381576,P2 Q2,G,P2
290,Q16,56,81,26.0455751,1.401466428,1,1,0.008104244,P2 Q2,G,P2
291,Q16,56,82,61.23837592,18.7592255,1,0,-2.44E-08,P2 Q2,G,P2
292,Q16,56,83,186.3616338,85.7159813,1,0,-8.04E-09,P2 Q2,G,P2
293,Q16,56,85,532.2344497,771.4124283,1,0,0.017955008,P2 Q2,G,P2
294,Q16,56,86,1106.478225,920.6888186,1,0,21.06234726,P2 Q2,G,P2
