,quad,year,trackID,area.t1,area.t0,age,allEdge,distEdgeMin,QuadName,Grazing,Group
295,Q16,56,87,125.061267,198.7265501,1,0,0.101333179,P2 Q2,G,P2
296,Q16,56,88,90.49860794,131.5217968,1,0,16.51224803,P2 Q2,G,P2
297,Q16,56,89,213.2098876,230.211927,1,0,1.69E-08,P2 Q2,G,P2
298,Q17,30,28,431.5313843,451.8436779,1,0,4.44171365,P2 Q3,G,P2
302,Q17,31,28,653.4965282,431.5313843,2,0,0.66440425,P2 Q3,G,P2
305,Q17,34,28,693.6389091,695.9428749,5,0,-4.62E-09,P2 Q3,G,P2
299,Q17,30,29,15.8702904,17.70338205,1,0,39.08101445,P2 Q3,G,P2
306,Q17,34,29,59.00506056,30.45392484,5,0,37.17780739,P2 Q3,G,P2
300,Q17,30,30,103.0654613,99.18690796,1,0,23.23118945,P2 Q3,G,P2
303,Q17,31,30,194.9107761,103.0654613,2,0,23.96915585,P2 Q3,G,P2
307,Q17,34,30,109.0564331,91.36832952,5,0,24.53992695,P2 Q3,G,P2
301,Q17,30,31,23.79602494,10.91542261,1,0,15.44384725,P2 Q3,G,P2
304,Q17,31,31,43.25492747,23.79602494,2,0,15.1585871,P2 Q3,G,P2
308,Q17,34,31,145.1878844,85.53937655,5,0,11.52005428,P2 Q3,G,P2
309,Q17,34,33,46.64740621,7.797035504,1,1,-4.62E-09,P2 Q3,G,P2
310,Q17,56,59,9.81595341,1.004523974,1,0,9.518638619,P2 Q3,G,P2
