logger,plot,date_started,date_uploaded
1,1,2014-04-13,2014-09-15
2,2,2014-04-13,2014-09-15
1_2_C,1_2_C,2014-04-13,2014-09-15
EM6843,7,2014-04-13,2014-09-15
8,8,2014-04-13,2014-09-15
7_8_C,7_8_C,2014-04-13,2014-09-15
11,11,2014-04-13,2014-09-15
12,12,2014-04-13,2014-09-15
11_12_C,11_12_C,2014-04-13,2014-09-15
15,15,2014-04-13,2014-09-15
16,16,2014-04-13,2014-09-15
15_16_C,15_16_C,2014-04-13,2014-09-15
