Measurement Time	Port 1 ECT/RT-1 Temperature °C Temp	Port 2 EC-5 Soil Moisture m³/m³ VWC	Port 3 EC-5 Soil Moisture m³/m³ VWC	Port 4 EC-5 Soil Moisture m³/m³ VWC	Port 5 EC-5 Soil Moisture m³/m³ VWC
05/28/14 08:00 PM	26.1	-0.019	0.027	0.105	0.017
05/29/14 12:00 AM	29.5	-0.017	0.032	0.106	0.017
05/29/14 04:00 AM	21.5	-0.021	0.028	0.108	0.016
05/29/14 08:00 AM	13.5	-0.025	0.024	0.108	0.016
05/29/14 12:00 PM	7.5	-0.027	0.021	0.105	0.015
05/29/14 04:00 PM	8.7	-0.027	0.019	0.105	0.015
05/29/14 08:00 PM	18.7	-0.020	0.022	0.105	0.016
05/30/14 12:00 AM	23.5	-0.018	0.027	0.105	0.016
05/30/14 04:00 AM	16.3	-0.025	0.025	0.105	0.016
05/30/14 08:00 AM	1.4	-0.029	0.021	0.105	0.013
05/30/14 12:00 PM	1.9	-0.031	0.017	0.105	0.012
05/30/14 04:00 PM	11.5	-0.031	0.015	0.103	0.013
05/30/14 08:00 PM	24.2	-0.021	0.021	0.102	0.014
05/31/14 12:00 AM	27.4	-0.019	0.026	0.104	0.015
05/31/14 04:00 AM	19.2	-0.025	0.022	0.105	0.015
05/31/14 08:00 AM	11.7	-0.031	0.018	0.105	0.014
05/31/14 12:00 PM	14.1	-0.031	0.017	0.105	0.013
05/31/14 04:00 PM	16.3	-0.031	0.015	0.105	0.013
05/31/14 08:00 PM	18.7	-0.027	0.017	0.102	0.013
06/01/14 12:00 AM	22.6	-0.025	0.019	0.103	0.014
06/01/14 04:00 AM	16.3	-0.028	0.018	0.103	0.013
06/01/14 08:00 AM	9.3	-0.031	0.016	0.103	0.013
06/01/14 12:00 PM	8.7	-0.031	0.014	0.102	0.010
06/01/14 04:00 PM	12.7	-0.032	0.013	0.102	0.011
06/01/14 08:00 PM	17.8	-0.028	0.015	0.101	0.012
06/02/14 12:00 AM	19.1	-0.024	0.020	0.102	0.013
06/02/14 04:00 AM	14.9	-0.028	0.017	0.102	0.013
06/02/14 08:00 AM	10.5	-0.031	0.016	0.102	0.010
06/02/14 12:00 PM	6.4	-0.031	0.014	0.102	0.010
06/02/14 04:00 PM	13.5	-0.032	0.011	0.100	0.011
06/02/14 08:00 PM	24.0	-0.022	0.017	0.100	0.014
06/03/14 12:00 AM	27.4	-0.019	0.024	0.102	0.014
06/03/14 04:00 AM	20.3	-0.028	0.020	0.103	0.013
06/03/14 08:00 AM	14.2	-0.031	0.016	0.103	0.013
06/03/14 12:00 PM	11.0	-0.034	0.014	0.102	0.011
06/03/14 04:00 PM	15.7	-0.033	0.011	0.102	0.011
06/03/14 08:00 PM	25.4	-0.026	0.016	0.102	0.014
06/04/14 12:00 AM	21.0	-0.027	0.018	0.102	0.012
06/04/14 04:00 AM	15.7	-0.030	0.017	0.102	0.012
06/04/14 08:00 AM	9.8	-0.031	0.014	0.102	0.011
06/04/14 12:00 PM	7.9	-0.034	0.012	0.102	0.010
06/04/14 04:00 PM	12.8	-0.033	0.010	0.100	0.010
06/04/14 08:00 PM	19.0	-0.026	0.014	0.100	0.010
06/05/14 12:00 AM	23.8	-0.022	0.018	0.100	0.013
06/05/14 04:00 AM	19.0	-0.025	0.018	0.102	0.012
06/05/14 08:00 AM	7.9	-0.029	0.017	0.102	0.009
06/05/14 12:00 PM	4.5	-0.031	0.014	0.100	0.009
06/05/14 04:00 PM	13.5	-0.030	0.011	0.100	0.010
06/05/14 08:00 PM	24.2	-0.020	0.015	0.099	0.010
06/06/14 12:00 AM	28.5	-0.018	0.024	0.100	0.012
06/06/14 04:00 AM	22.2	-0.025	0.021	0.102	0.012
06/06/14 08:00 AM	13.1	-0.030	0.017	0.102	0.010
06/06/14 12:00 PM	9.0	-0.031	0.015	0.102	0.009
06/06/14 04:00 PM	14.9	-0.032	0.011	0.100	0.010
06/06/14 08:00 PM	24.8	-0.023	0.015	0.100	0.010
06/07/14 12:00 AM	23.5	-0.022	0.020	0.101	0.010
06/07/14 04:00 AM	18.7	-0.028	0.017	0.102	0.011
06/07/14 08:00 AM	10.7	-0.031	0.014	0.102	0.009
06/07/14 12:00 PM	7.2	-0.031	0.011	0.101	0.009
06/07/14 04:00 PM	13.7	-0.030	0.010	0.100	0.009
06/07/14 08:00 PM	24.2	-0.019	0.014	0.099	0.010
06/08/14 12:00 AM	23.9	-0.019	0.017	0.100	0.010
06/08/14 04:00 AM	14.7	-0.024	0.015	0.102	0.010
06/08/14 08:00 AM	8.4	-0.025	0.008	0.102	0.014
06/08/14 12:00 PM	4.7	-0.027	0.005	0.100	0.011
06/08/14 04:00 PM	11.8	-0.026	0.006	0.099	0.009
06/08/14 08:00 PM	21.4	-0.014	0.011	0.099	0.009
06/09/14 12:00 AM	23.6	-0.010	0.017	0.099	0.010
06/09/14 04:00 AM	17.3	-0.014	0.017	0.100	0.010
06/09/14 08:00 AM	6.8	-0.017	0.016	0.100	0.009
06/09/14 12:00 PM	4.7	-0.019	0.014	0.099	0.008
06/09/14 04:00 PM	13.8	-0.019	0.011	0.099	0.009
06/09/14 08:00 PM	24.2	-0.011	0.016	0.099	0.009
06/10/14 12:00 AM	29.3	-0.008	0.024	0.099	0.010
06/10/14 04:00 AM	22.6	-0.013	0.023	0.100	0.010
06/10/14 08:00 AM	14.1	-0.017	0.019	0.100	0.009
06/10/14 12:00 PM	9.2	-0.019	0.017	0.100	0.009
06/10/14 04:00 PM	17.4	-0.019	0.014	0.099	0.009
06/10/14 08:00 PM	24.6	-0.013	0.018	0.099	0.010
06/11/14 12:00 AM	27.0	-0.011	0.022	0.100	0.010
06/11/14 04:00 AM	21.6	-0.015	0.021	0.101	0.010
06/11/14 08:00 AM	12.8	-0.019	0.017	0.101	0.009
06/11/14 12:00 PM	7.3	-0.023	0.015	0.100	0.009
06/11/14 04:00 PM	13.3	-0.023	0.011	0.099	0.009
06/11/14 08:00 PM	22.3	-0.014	0.015	0.099	0.009
06/12/14 12:00 AM	25.7	-0.011	0.021	0.099	0.010
06/12/14 04:00 AM	19.8	-0.018	0.019	0.102	0.010
06/12/14 08:00 AM	7.7	-0.023	0.015	0.102	0.009
06/12/14 12:00 PM	6.5	-0.025	0.012	0.100	0.009
06/12/14 04:00 PM	15.3	-0.026	0.010	0.099	0.009
