"quad","year","SP_ID","ObjectID","species","seedling","area","x","y","age","survives","dormancy","trackID","distEdgeMin","allEdge"
"Q1",2012,"105",106,"Artemisia tripartita","N",0.25,43.7561131042971,34.8766839229588,1,1,0,-Inf,34.6266839229588,0
"Q1",2012,"107",108,"Artemisia tripartita","Y",0.25,13.9243934539821,48.3729111162713,1,0,0,-Inf,13.6743934539821,0
"Q1",2014,"32",34,"Artemisia tripartita","N",27.524940915213,42.3767525051311,35.0082957422809,3,1,1,-Inf,30.8056,0
"Q1",2014,"78",80,"Artemisia tripartita","N",0.25,15.7264487962054,48.0696964825772,1,0,0,-Inf,15.4764487962054,0
"Q1",2015,"59",61,"Artemisia tripartita","N",19.0915666706585,42.1169155619122,37.4055138255004,4,0,0,-Inf,33.87995,0
"Q1",2015,"63",65,"Artemisia tripartita","N",7.95739863284251,14.2384663981233,49.0195801800409,1,0,0,-Inf,12.496541,0
"Q1",2016,"107",115,"Artemisia tripartita","N",0.250000000000004,12.9032073873259,46.1281941370191,1,0,0,-Inf,12.6532073873259,0
"Q19",2007,"27",28,"Artemisia tripartita","N",57.269349290676,95.3170786009332,76.4828104673196,1,1,0,1,0,0
"Q19",2007,"28",29,"Artemisia tripartita","N",57.1827539267165,47.8856473256993,84.7022236020831,1,1,0,2,9.26987099999999,0
"Q19",2007,"29",30,"Artemisia tripartita","N",10.711195296064,42.4325679786565,83.0305781200125,1,0,0,2,13.369727,0
"Q19",2007,"30",31,"Artemisia tripartita","N",362.754107313743,59.6234806324188,12.218907272422,1,1,0,3,0,0
"Q19",2007,"31",32,"Artemisia tripartita","N",71.8597224519235,3.39394478693494,93.8180257370052,1,1,0,4,0,0
"Q19",2007,"32",33,"Artemisia tripartita","N",8.183722334284,2.19906900987806,82.5756704324426,1,0,0,4,0,1
"Q19",2007,"33",34,"Artemisia tripartita","N",137.318453776282,4.68361880438069,68.5556575704875,1,1,0,4,0,0
"Q19",2007,"44",45,"Artemisia tripartita","N",0.25,63.9462276207555,83.3315433391046,1,0,0,5,16.4184566608954,0
"Q19",2008,"31",32,"Artemisia tripartita","N",125.479754840122,47.382888567117,83.6630088258332,2,1,0,2,7.14590099999999,0
"Q19",2008,"32",33,"Artemisia tripartita","N",84.5179253226465,3.19852387901177,92.2677902287208,2,1,0,4,0,0
"Q19",2008,"33",34,"Artemisia tripartita","N",110.732612589068,3.13592309176702,67.7877786905695,2,1,0,4,0,0
"Q19",2008,"34",35,"Artemisia tripartita","N",540.006712443432,60.578946581487,12.4438960799644,2,1,0,3,0,0
"Q19",2008,"79",80,"Artemisia tripartita","N",0.25,65.2586338003432,8.13495799982595,1,0,0,6,7.88495799982595,0
"Q19",2008,"80",81,"Artemisia tripartita","N",0.25,46.9860825398179,91.3192041940027,1,0,0,7,8.43079580599728,0
"Q19",2009,"43",44,"Artemisia tripartita","N",128.448110810853,4.46845334612296,93.3509976537288,3,1,0,4,0,0
"Q19",2009,"44",45,"Artemisia tripartita","N",196.415957337184,4.66317208462254,67.7239954776276,3,1,0,4,0,0
"Q19",2009,"45",46,"Artemisia tripartita","N",217.760329461375,44.4414161853933,87.0541017568347,3,1,0,2,2.396461,0
"Q19",2009,"46",47,"Artemisia tripartita","N",142.485545496672,92.5679043819508,81.3316977844255,3,1,1,1,1.16891099999999,0
"Q19",2009,"47",48,"Artemisia tripartita","N",157.623158161313,73.0860637693954,27.5044460385679,3,0,0,3,18.036502,0
"Q19",2009,"48",49,"Artemisia tripartita","N",525.930402459194,57.8449891664012,9.52163817406451,3,1,0,3,0,0
"Q19",2010,"55",56,"Artemisia tripartita","N",231.576975471064,44.5077904861413,87.6112511583009,4,1,0,2,0,0
"Q19",2010,"56",57,"Artemisia tripartita","N",169.540228408513,94.8644646750997,83.8265459666864,4,1,0,1,0,0
"Q19",2010,"57",58,"Artemisia tripartita","N",161.238804563438,5.27834343393508,92.8406004513341,4,1,0,4,0,0
"Q19",2010,"58",59,"Artemisia tripartita","N",217.035785911329,5.04691803075194,69.3613134673118,4,1,0,4,0,0
"Q19",2010,"59",60,"Artemisia tripartita","N",147.598405451228,63.3980333343756,18.2570467291204,4,0,0,3,9.037191,0
"Q19",2010,"60",61,"Artemisia tripartita","N",132.906052222403,51.4050752082748,3.98351205222829,4,1,0,3,0,0
"Q19",2011,"57",58,"Artemisia tripartita","N",318.138752868593,59.9312059827187,8.64993939466384,5,1,0,3,0,0
"Q19",2011,"58",59,"Artemisia tripartita","N",171.619178411954,95.5672763372923,78.5677187060776,5,1,0,1,0,0
"Q19",2011,"59",60,"Artemisia tripartita","N",299.374764987149,44.8111820114445,81.9358053532885,5,1,0,2,4.994832,0
"Q19",2011,"60",61,"Artemisia tripartita","N",88.3194618948045,3.64088456640705,92.8828273145537,5,1,0,4,0,0
"Q19",2011,"61",62,"Artemisia tripartita","N",235.835325148952,4.96718240759521,68.7914591034455,5,1,0,4,0,0
"Q19",2012,"94",95,"Artemisia tripartita","N",292.326169075649,45.8464072201435,83.0289231937761,6,1,0,2,3.05201600000001,0
"Q19",2012,"95",96,"Artemisia tripartita","N",85.247371042746,97.7182341346897,83.7452641845781,6,1,0,1,0,0
"Q19",2012,"96",97,"Artemisia tripartita","N",39.196112853371,11.9888363577798,97.9972869782697,6,0,0,4,0.0141249999999928,0
"Q19",2012,"97",98,"Artemisia tripartita","N",64.1526701485615,6.46983647237198,84.2894829877383,6,1,0,4,3.733855,0
"Q19",2012,"98",99,"Artemisia tripartita","N",406.458427885378,59.1343581717979,8.98293867304636,6,1,0,3,0,0
