"quad","year","totCover"
"Q19",2007,705.529304389689
"Q2",2007,3718.7635506837
"Q20",2007,879.588071500747
"Q23",2007,55.8059618588365
"Q24",2007,581.462424661771
"Q25",2007,3475.54778711719
"Q26",2007,2181.94790079809
"Q3",2007,4722.79311462495
"Q4",2007,2503.55221306188
"Q19",2008,861.237005195268
"Q2",2008,4875.90908787951
"Q20",2008,1006.27232769062
"Q23",2008,56.749008001177
"Q24",2008,1023.57780608958
"Q25",2008,4501.07168873128
"Q26",2008,3019.94755490466
"Q3",2008,4803.63214219897
"Q4",2008,3154.25667018284
"Q19",2009,1368.66350372659
"Q2",2009,3992.76977262624
"Q20",2009,1249.00745323178
"Q23",2009,74.474596202951
"Q24",2009,1313.77743782879
"Q25",2009,2633.89125960881
"Q26",2009,2499.61023506519
"Q3",2009,5531.7252170538
"Q4",2009,3494.30792168748
"Q19",2010,1059.89625202797
"Q2",2010,3894.65485940974
"Q20",2010,1829.05321521731
"Q23",2010,87.346874427772
"Q24",2010,1285.48219106148
"Q25",2010,3989.03650105878
"Q26",2010,4660.21782166876
"Q3",2010,4185.96524404519
"Q4",2010,3229.92479220271
"Q19",2011,1113.28748331145
"Q2",2011,4486.49206033973
"Q20",2011,2049.54093749819
"Q23",2011,65.426453248835
"Q24",2011,1366.0704878039
"Q25",2011,828.240482989501
"Q26",2011,3932.95061905215
"Q3",2011,4460.81907482806
"Q31",2011,2536.09516515919
"Q32",2011,2114.38158208871
"Q33",2011,4894.85644729743
"Q39",2011,5676.64128165969
"Q4",2011,2886.36585312484
"Q40",2011,1504.87884491531
"Q41",2011,1078.49473535692
"Q43",2011,181.354098146139
"Q44",2011,115.416255001186
"Q45",2011,3469.7630321098
"Q46",2011,781.317752580056
"Q47",2011,3159.55450650289
"Q48",2011,670.070642279762
"Q49",2011,1355.25917078945
"Q50",2011,3942.10526635569
"Q51",2011,8086.90163588692
"Q52",2011,3248.41494130427
"Q53",2011,2196.48610279013
"Q54",2011,2293.47314788904
"Q55",2011,1684.53457262591
"Q56",2011,2000.101669972
"Q57",2011,2143.30503586445
"Q58",2011,2854.84142691599
"Q59",2011,1583.09211369441
"Q60",2011,2223.08203865415
