"quad","year","totCover"
"Q1",2007,314.017179443621
"Q19",2007,316.476754259258
"Q2",2007,343.769127467879
"Q20",2007,119.084015755358
"Q21",2007,87.5468194330765
"Q22",2007,347.165721464279
"Q23",2007,244.286298110347
"Q24",2007,194.905126496989
"Q25",2007,53.743093363697
"Q26",2007,396.336852675634
"Q3",2007,347.833557175817
"Q4",2007,564.593680880952
"Q5",2007,255.347638371937
"Q6",2007,157.988119633511
"Q1",2008,133.575685215297
"Q19",2008,230.094999660365
"Q2",2008,83.23804909807
"Q20",2008,191.249471650932
"Q21",2008,40.5051599832045
"Q22",2008,303.18927945217
"Q23",2008,273.613760331647
"Q24",2008,174.358602635426
"Q25",2008,23.703657890785
"Q26",2008,259.11823540172
"Q3",2008,273.585947464858
"Q4",2008,396.470021168343
"Q5",2008,180.343198571474
"Q6",2008,82.753855338673
"Q1",2009,280.152112545702
"Q19",2009,216.474300359915
"Q2",2009,113.800073347248
"Q20",2009,125.638527392585
"Q21",2009,23.8879913831575
"Q22",2009,318.872658456883
"Q23",2009,197.621389170603
"Q24",2009,224.15220517797
"Q25",2009,16.0907007857626
"Q26",2009,263.62361618072
"Q3",2009,354.992755108696
"Q4",2009,157.511516935008
"Q5",2009,179.217185438475
"Q6",2009,108.354238511572
"Q1",2010,286.802881912684
"Q19",2010,176.948858643873
"Q2",2010,64.0974313478336
"Q20",2010,108.547323098245
"Q21",2010,7.97808002236344
"Q22",2010,299.948759259479
"Q23",2010,179.273079898848
"Q24",2010,179.379706561122
"Q25",2010,10.836998406489
"Q26",2010,303.756970933077
"Q3",2010,252.927022400582
"Q4",2010,167.62757170385
"Q5",2010,247.012435979367
"Q6",2010,165.836138533495
"Q1",2011,136.383914777507
"Q19",2011,228.372466228657
"Q2",2011,42.393637329102
"Q20",2011,78.4330760899475
"Q21",2011,1.25
"Q22",2011,290.476911272406
"Q23",2011,184.266132717715
"Q24",2011,59.296994708904
"Q25",2011,30.0957367371945
"Q26",2011,218.039106567053
"Q27",2011,237.461062000572
"Q28",2011,492.009705372916
"Q3",2011,179.728316066345
"Q31",2011,90.8824158870355
"Q32",2011,0.749999999999996
