logger,plot,date_started,date_uploaded
EL5742,1,2013-11-09,2014-04-13
EL5740,2,2013-11-09,2014-04-13
EL5739,1_2_C,2013-11-09,2014-04-13
EM6843,7,2013-11-09,2014-04-13
EM20068,8,2013-11-09,2014-04-13
EM20085,7_8_C,2013-11-09,2014-04-13
EM20069,11,2013-11-09,2014-04-13
EM20086,12,2013-11-09,2014-04-13
EM20070,11_12_C,2013-11-09,2014-04-13
EL5741,15,2013-11-09,2014-04-13
EL5743,16,2013-11-09,2014-04-13
EM20067,15_16_C,2013-11-09,2014-04-13
