plot,ibutton,start_date,end_date
5,3447E521,2015-04-02,2015-09-18
6,3454EE21,2015-04-02,2015-09-18
18,3444F121,2015-04-02,2015-09-18
14,34419B21,2015-04-02,2015-09-18
20,34401021,2015-04-02,2015-09-18
19,34467321,2015-04-02,2015-09-18
17,343FE621,2015-04-02,2015-09-18
18,34434621,2015-04-02,2015-09-18
