"quad","year","trackID","genetX","genetY","distance","allEdge","totCover","totN"
"Q1",2007,1,88.603540428986,88.603540428986,NA,0,454.574487518366,14
"Q1",2007,1,88.603540428986,68.1480695544245,79.8495397929863,0,454.574487518366,14
"Q1",2007,1,88.603540428986,0.25,49.5015714368217,0,454.574487518366,14
"Q1",2007,1,88.603540428986,0.25,55.0165498100022,0,454.574487518366,14
"Q1",2007,1,88.603540428986,0.25,48.8216330742443,0,454.574487518366,14
"Q1",2007,1,88.603540428986,0.25,17.6885147122786,0,454.574487518366,14
"Q1",2007,1,88.603540428986,71.2004459356535,19.2244174958211,0,454.574487518366,14
"Q1",2007,1,88.603540428986,5.26566289459103,34.6133451904579,0,454.574487518366,14
"Q1",2007,1,88.603540428986,46.9213788125795,60.5025255888258,0,454.574487518366,14
"Q1",2007,1,88.603540428986,34.071388135426,44.1563885078792,0,454.574487518366,14
"Q1",2007,1,88.603540428986,3.7020851268995,36.5747903046596,0,454.574487518366,14
"Q1",2007,1,88.603540428986,39.1033447411465,41.1781749378081,0,454.574487518366,14
"Q1",2007,1,88.603540428986,35.12896492002,54.6604663137873,0,454.574487518366,14
"Q1",2007,1,88.603540428986,61.4296069686395,82.9325391128871,0,454.574487518366,14
"Q1",2007,10,68.1480695544245,88.603540428986,79.8495397929863,0,454.574487518366,14
"Q1",2007,10,68.1480695544245,68.1480695544245,NA,0,454.574487518366,14
"Q1",2007,10,68.1480695544245,0.25,44.9692183389808,0,454.574487518366,14
"Q1",2007,10,68.1480695544245,0.25,28.1838612674156,0,454.574487518366,14
"Q1",2007,10,68.1480695544245,0.25,32.8084350558093,0,454.574487518366,14
"Q1",2007,10,68.1480695544245,0.25,77.0801759696205,0,454.574487518366,14
"Q1",2007,10,68.1480695544245,71.2004459356535,63.2998828088915,0,454.574487518366,14
"Q1",2007,10,68.1480695544245,5.26566289459103,56.2699763894262,0,454.574487518366,14
"Q1",2007,10,68.1480695544245,46.9213788125795,19.4022018510348,0,454.574487518366,14
"Q1",2007,10,68.1480695544245,34.071388135426,35.6977207491442,0,454.574487518366,14
"Q1",2007,10,68.1480695544245,3.7020851268995,48.5841865795842,0,454.574487518366,14
"Q1",2007,10,68.1480695544245,39.1033447411465,97.2132948935013,0,454.574487518366,14
"Q1",2007,10,68.1480695544245,35.12896492002,88.6815486757878,0,454.574487518366,14
"Q1",2007,10,68.1480695544245,61.4296069686395,55.7218085068435,0,454.574487518366,14
"Q1",2007,11,0.25,88.603540428986,49.5015714368217,0,454.574487518366,14
"Q1",2007,11,0.25,68.1480695544245,44.9692183389808,0,454.574487518366,14
"Q1",2007,11,0.25,0.25,NA,0,454.574487518366,14
"Q1",2007,11,0.25,0.25,18.1420432707107,0,454.574487518366,14
"Q1",2007,11,0.25,0.25,17.7699530264845,0,454.574487518366,14
"Q1",2007,11,0.25,0.25,56.7824331000789,0,454.574487518366,14
"Q1",2007,11,0.25,71.2004459356535,30.3438348662004,0,454.574487518366,14
"Q1",2007,11,0.25,5.26566289459103,48.4713837416049,0,454.574487518366,14
"Q1",2007,11,0.25,46.9213788125795,29.8733212126901,0,454.574487518366,14
"Q1",2007,11,0.25,34.071388135426,24.8256410617257,0,454.574487518366,14
"Q1",2007,11,0.25,3.7020851268995,40.8561267033336,0,454.574487518366,14
"Q1",2007,11,0.25,39.1033447411465,53.4074052923307,0,454.574487518366,14
"Q1",2007,11,0.25,35.12896492002,43.8635756670089,0,454.574487518366,14
"Q1",2007,11,0.25,61.4296069686395,35.0323927240928,0,454.574487518366,14
"Q1",2007,12,0.25,88.603540428986,55.0165498100022,0,454.574487518366,14
"Q1",2007,12,0.25,68.1480695544245,28.1838612674156,0,454.574487518366,14
"Q1",2007,12,0.25,0.25,18.1420432707107,0,454.574487518366,14
"Q1",2007,12,0.25,0.25,NA,0,454.574487518366,14
"Q1",2007,12,0.25,0.25,6.39308291964136,0,454.574487518366,14
"Q1",2007,12,0.25,0.25,56.6624740153056,0,454.574487518366,14
"Q1",2007,12,0.25,71.2004459356535,36.8283644881074,0,454.574487518366,14
"Q1",2007,12,0.25,5.26566289459103,41.3428485071665,0,454.574487518366,14
"Q1",2007,12,0.25,46.9213788125795,11.7527089981646,0,454.574487518366,14
"Q1",2007,12,0.25,34.071388135426,14.3893693284799,0,454.574487518366,14
"Q1",2007,12,0.25,3.7020851268995,32.7539758103048,0,454.574487518366,14
"Q1",2007,12,0.25,39.1033447411465,69.0426309383602,0,454.574487518366,14
"Q1",2007,12,0.25,35.12896492002,61.7817386011037,0,454.574487518366,14
"Q1",2007,12,0.25,61.4296069686395,43.3633375627828,0,454.574487518366,14
"Q1",2007,13,0.25,88.603540428986,48.8216330742443,0,454.574487518366,14
"Q1",2007,13,0.25,68.1480695544245,32.8084350558093,0,454.574487518366,14
"Q1",2007,13,0.25,0.25,17.7699530264845,0,454.574487518366,14
"Q1",2007,13,0.25,0.25,6.39308291964136,0,454.574487518366,14
"Q1",2007,13,0.25,0.25,NA,0,454.574487518366,14
"Q1",2007,13,0.25,0.25,50.2935433855087,0,454.574487518366,14
"Q1",2007,13,0.25,71.2004459356535,30.9634436040201,0,454.574487518366,14
"Q1",2007,13,0.25,5.26566289459103,35.6783402444228,0,454.574487518366,14
"Q1",2007,13,0.25,46.9213788125795,14.2376227511866,0,454.574487518366,14
"Q1",2007,13,0.25,34.071388135426,8.81817824286384,0,454.574487518366,14
"Q1",2007,13,0.25,3.7020851268995,27.1837060153013,0,454.574487518366,14
