"quad","year","SP_ID","x","y","GenID"
"Q20",2007,16,66.8519239108,96.2821453766,8
"Q20",2007,17,86.1113917095,97.3634502841,9
"Q20",2007,19,73.7126696221,86.936737628,10
"Q20",2007,20,97.9816686757,78.2044358032,11
"Q20",2007,22,88.6230980605,68.6306733765,12
"Q20",2007,24,73.4148547824,56.7332864958,13
"Q20",2007,25,74.5275974602,64.1054754009,14
"Q20",2007,27,62.4788424317,59.4986999909,15
"Q20",2007,28,67.7458204249,72.1582344181,16
"Q20",2007,30,88.6187620452,83.7140091492,17
"Q20",2007,31,14.1778024408,55.6745086315,18
"Q20",2007,32,10.5078671934,45.3250435233,19
"Q20",2007,34,1.3029850197,18.2341478024,20
"Q20",2007,35,3.0469001966,12.7532514209,21
"Q20",2007,36,18.0774261384,21.9656971832,22
"Q20",2007,37,22.2792780236,36.3850097664,23
"Q20",2007,38,29.1257253586,56.8306130603,24
"Q20",2007,39,36.8156532489,57.6522783364,25
"Q20",2007,40,35.9841590102,42.8601855301,26
"Q20",2007,43,34.6408412828,31.6734851175,27
"Q20",2007,44,46.3784995632,32.5149819347,28
"Q20",2007,45,45.4227825276,28.0217772265,28
"Q20",2007,49,16.8455960468,14.63999884,29
"Q20",2007,51,34.6051307901,14.454229088,30
"Q20",2007,53,41.9926374814,17.9239417004,31
"Q20",2007,54,55.7063477524,48.5299304565,32
"Q20",2007,55,96.8996575757,32.1710660184,33
"Q20",2007,57,84.6580273617,18.0550136126,34
"Q20",2007,58,72.4653970029,7.8305831287,35
"Q20",2007,59,82.6041841686,4.2557085184,36
"Q20",2007,66,86.2813356765,18.6914213396,37
"Q20",2007,68,81.61865113,32.5862206474,38
"Q20",2007,77,90.3666388951,90.1207894044,39
"Q20",2007,78,87.0860623398,90.2469651691,40
"Q21",2007,8,44.5807393339,9.5833227535,1
"Q21",2007,11,56.6370778237,42.2339593753,2
"Q21",2007,12,62.1158315553,48.5828394852,3
"Q21",2007,13,52.3222714738,47.4456190774,4
"Q21",2007,15,20.3349654149,23.9070240813,5
"Q21",2007,16,7.495564824,15.0221992966,6
"Q21",2007,17,5.2721934937,2.6469805708,7
"Q21",2007,24,28.6069306546,36.6111814483,8
"Q21",2007,32,12.4398473574,59.9775943583,9
"Q21",2007,34,9.9022565088,38.7248311888,10
"Q21",2007,38,87.7559835258,98.322324532,11
"Q21",2007,45,5.9703694422,96.3965277703,12
"Q21",2007,46,17.5236516547,91.5301833365,13
"Q21",2007,83,45.9831127011,79.2301426844,14
"Q21",2007,84,10.6151090266,79.478338602,15
"Q21",2007,85,54.0494995977,85.0627605392,16
"Q21",2007,86,99.2212669305,85.4971042847,17
"Q21",2007,87,50.5747487435,88.7236592213,18
"Q21",2007,88,7.7608488562,90.8333294146,19
"Q22",2007,11,19.3453214024,59.7450734112,1
"Q22",2007,13,18.835245137,50.7441836765,2
"Q22",2007,14,41.1473124011,56.1863896682,3
"Q22",2007,15,71.2353494362,84.7387074899,4
"Q22",2007,16,52.9650649017,70.7707243433,5
"Q22",2007,17,92.8876973369,96.0492889426,6
"Q22",2007,28,20.8472234601,34.6710061842,7
"Q22",2007,32,12.442901225,16.2286139697,8
"Q22",2007,35,48.796465826,27.4981608153,9
"Q22",2007,40,76.6675534715,28.7339787977,10
"Q22",2007,41,70.1498031658,21.3185403547,11
"Q22",2007,43,75.5390550982,10.1158487271,12
"Q22",2007,46,99.280239531,25.5201359584,13
"Q22",2007,48,66.8706228722,0.5490718014,14
"Q22",2007,49,14.2789120695,2.1325327818,15
"Q22",2007,56,18.2060427331,37.7989495899,16
"Q22",2007,61,0.3890168253,59.3629042428,17
"Q23",2007,1,11.2469986544,52.3200883095,1
"Q23",2007,4,96.2435769587,82.8231884872,2
"Q23",2007,11,68.9025747024,50.8796187646,3
"Q23",2007,12,61.2270382353,37.7555510864,4
"Q23",2007,14,51.8053193644,23.3834200311,5
"Q23",2007,16,40.5739733892,19.9829183937,6
"Q23",2007,25,22.7762859223,33.1275716122,7
"Q23",2007,26,16.3011003987,17.9857644739,8
"Q23",2007,33,22.4485544258,13.324129079,9
"Q23",2007,52,18.0477471822,13.3668083417,10
"Q23",2007,58,94.0001222949,16.9835876852,11
"Q23",2007,64,49.9061903021,25.9101083644,12
"Q23",2007,72,51.445245607,28.4495497954,13
"Q23",2007,77,63.6037818035,32.9897621439,14
"Q23",2007,78,85.3814127656,33.2975728489,15
"Q23",2007,91,79.3790973436,61.9240004516,16
"Q23",2007,96,76.8396568024,72.3126228695,17
"Q23",2007,97,16.1239284961,72.6973862508,18
"Q23",2007,102,38.9788978156,79.4692293252,19
"Q23",2007,107,49.521426031,91.1660490193,20
"Q23",2007,109,73.2998292453,91.8586239955,21
"Q23",2007,114,47.2897966398,96.3218841126,22
"Q24",2007,1,16.8556897287,91.6309347929,1
"Q24",2007,5,13.9680011214,64.4298389067,2
"Q24",2007,9,55.9909818206,97.5594743452,3
"Q24",2007,20,99.6150808955,50.1662475883,4
"Q24",2007,21,53.4399534733,91.1689109387,3
"Q24",2007,31,99.5940164645,6.53735328,5
"Q3",2010,89,8.2009675822,74.9080145432,1
"Q3",2010,93,0.7560791274,80.1844887381,2
"Q3",2010,95,1.4788837324,81.6300979481,3
"Q3",2010,96,5.2374682123,81.702378453,4
"Q32",2011,8,75.5468750486,46.0298565019,1
"Q32",2011,9,82.2836702229,28.6587892789,2
"Q32",2011,10,64.8805787745,40.2089853114,3
"Q32",2011,11,65.9227067738,84.4359053028,4
"Q32",2011,12,81.7760739873,90.6631043483,5
"Q32",2011,13,96.2722676864,12.7657300184,6
"Q32",2011,14,75.8306286408,10.0379227123,7
"Q32",2011,15,91.5597773403,0.5132695359,8
"Q32",2011,49,13.8320268777,94.3641731793,9
"Q32",2011,50,83.241193203,93.7909083098,10
"Q32",2011,64,79.0960469496,86.7353388368,11
"Q32",2011,65,26.2674687523,86.6912412996,12
"Q32",2011,66,28.2077506021,86.6471442073,13
"Q32",2011,71,82.7120263156,85.280127227,14
"Q32",2011,72,28.1195555276,85.0155433384,15
"Q32",2011,74,96.2058028548,84.2217921176,16
"Q32",2011,91,36.8067258694,49.3408194734,17
"Q32",2011,97,37.9973531457,27.6449428324,18
"Q32",2011,99,8.9813226982,26.1015365931,19
"Q32",2011,104,11.406674788,18.7372861392,20
"Q32",2011,107,50.7414760012,16.8411013818,21
"Q32",2011,110,32.0883143016,8.8594885212,22
"Q32",2011,111,1.9257532253,6.4341364314,23
"Q32",2011,112,32.132410949,6.3900388942,24
"Q38",2011,0,36.8897583129,31.5597599501,1
"Q38",2011,1,3.6830673102,45.2792775858,2
"Q39",2011,64,88.9768936347,95.2263685105,1
"Q39",2011,67,99.3791054735,7.1051985875,2
"Q4",2007,10,27.5604316281,83.5363773922,1
"Q4",2007,14,26.2144132751,14.3439421337,2
"Q4",2007,25,76.7752126685,82.8817979727,3
"Q4",2007,26,72.7651172538,0.6221365358,4
"Q4",2007,34,21.9160550402,20.1864650872,2
"Q41",2011,1,99.6940506976,91.0605263109,1
"Q41",2011,2,59.6630968315,54.3022575131,2
"Q41",2011,3,22.4183859092,10.7011726983,3
"Q41",2011,4,22.2939022908,14.4230191828,4
"Q41",2011,5,42.3924988423,24.636792045,5
"Q41",2011,9,45.1035092363,33.8919449324,6
"Q41",2011,10,96.5386970572,82.7228610263,7
"Q41",2011,43,50.2769346276,70.3315524335,8
"Q41",2011,47,53.628330105,36.5971104183,9
"Q41",2011,48,53.8929139936,38.0523220281,10
"Q41",2011,51,57.1120177492,4.3178791229,11
"Q42",2011,0,83.9823216368,99.8044834533,1
"Q42",2011,1,92.1046298678,83.8943170843,2
"Q42",2011,2,40.8239660474,27.0032114291,3
"Q42",2011,3,85.7758174566,48.8533693717,4
"Q42",2011,122,99.8956693748,41.5862234018,5
"Q42",2011,171,54.2683309152,57.5935466603,6
"Q42",2011,176,32.4401621075,59.53382851,7
"Q42",2011,189,25.2082029305,62.8852239874,8
"Q45",2011,30,65.8385123725,40.7362638983,1
"Q45",2011,70,64.5823648155,38.6903029173,1
"Q45",2011,71,63.832709797,39.2635682318,1
"Q45",2011,75,59.6076360901,41.2314105974,1
"Q45",2011,76,60.9222874673,41.4243368778,1
"Q45",2011,77,62.4656932617,41.4243368778,1
"Q45",2011,78,64.5382668333,42.6149637092,1
"Q45",2011,79,66.2580618868,43.4969100045,1
"Q46",2012,9,90.5373513451,1.139295139,1
"Q46",2012,166,69.7855812021,55.1974002286,2
"Q46",2012,183,30.8256081655,66.6075788118,3
"Q46",2012,200,51.1985653635,96.90243161,4
"Q46",2012,201,50.2725215309,98.1592047472,5
"Q48",2011,31,63.837406424,94.9336923534,1
"Q48",2011,32,85.7341632369,72.0777516662,2
"Q48",2011,33,76.668650194,55.9745751081,3
"Q48",2011,34,43.3954902724,39.2732581241,4
"Q48",2011,35,11.9760017435,36.7760464119,5
"Q48",2011,36,4.8933511641,58.8607931593,6
"Q48",2011,37,72.8657244739,44.2398949713,7
"Q48",2011,38,33.7878061184,77.522957222,8
"Q48",2011,39,47.5050024142,64.9517193425,9
"Q48",2011,113,41.3737148917,57.3259573496,10
"Q48",2011,122,58.4834707969,79.7273910268,11
"Q49",2011,17,36.2919584158,47.6599475703,1
"Q49",2011,23,24.3970714612,34.0812630009,2
"Q49",2011,49,75.2839742514,21.4394495822,3
"Q49",2011,52,72.6381353654,23.2033421729,4
"Q49",2011,57,75.9013362133,25.5845967254,5
"Q49",2011,60,78.2825907658,26.6870293721,6
"Q49",2011,65,23.6460233304,31.3613442925,7
"Q5",2007,7,46.9126687199,73.6400498792,1
"Q50",2012,141,5.306511147,62.0360370693,1
"Q51",2011,8,78.5084776833,80.0151129245,1
"Q51",2011,9,88.0424405834,48.9745636349,2
"Q51",2011,10,96.6845217976,20.1631474134,3
"Q51",2011,43,59.1732913552,18.2269099405,4
"Q51",2011,46,57.3234405731,16.7666392485,5
"Q51",2011,69,92.7776780867,46.7969077132,6
"Q51",2011,89,96.5700467118,59.9379061791,7
"Q51",2011,92,95.9085872128,61.4372144363,8
"Q51",2011,96,97.0110203044,63.5979826374,9
"Q51",2011,114,96.1731715463,69.9038984267,10
"Q51",2011,116,96.43775499,70.7417471849,11
"Q51",2011,126,73.6394457023,78.5910683236,12
"Q51",2011,130,73.110277925,80.3549604694,13
"Q51",2011,152,52.7814173745,99.8641319918,14
"Q52",2011,40,79.61974236,45.0586562573,1
"Q52",2011,41,37.3615302318,41.5329473265,2
"Q52",2011,42,15.8632220036,30.3168854688,3
"Q52",2011,43,1.1397076982,32.0139618306,4
"Q52",2011,44,25.0968322957,0.9825733318,5
"Q52",2011,45,51.9359880702,96.0035357072,6
"Q52",2011,49,51.1967212744,91.276834483,7
"Q52",2011,70,1.3594450569,87.2925306279,8
"Q52",2011,75,1.2271524452,83.0150917629,9
"Q52",2011,125,15.3823898182,32.7882549144,10
"Q52",2011,139,88.7162169353,8.0055666846,11
"Q53",2012,24,23.5057905684,16.3571246938,1
"Q53",2012,58,88.1571877668,29.4375979047,2
"Q54",2011,46,55.0949300043,14.1186270922,1
"Q54",2011,47,78.9165375001,0.2654941204,2
"Q54",2011,48,84.4777395121,4.8049250812,3
"Q54",2011,49,84.2220257539,71.4791129479,4
