"quad","year","trackID","area","x","y","allEdge","totCover","age","Treatment","inARTR"
"Q50",2012,1,0.25,5.306511,62.036037,0,0.25,NA,"No_shrub",0
"Q52",2011,1,10.856551821517,79.61974269,45.05865642,0,43.1121525190575,NA,"No_shrub",0
"Q52",2011,10,0.25,15.38239,32.788255,0,43.1121525190575,NA,"No_shrub",0
"Q52",2011,11,0.25,88.716217,8.005567,0,43.1121525190575,NA,"No_shrub",0
"Q52",2011,12,2.76421082097101,47.07500076,89.8250036,0,43.1121525190575,NA,"No_shrub",0
"Q52",2011,13,2.47155183110648,50.88201953,88.22319443,0,43.1121525190575,NA,"No_shrub",0
"Q52",2011,2,12.987796079304,37.36153016,41.5329474,0,43.1121525190575,NA,"No_shrub",1
"Q52",2011,3,1.295086292368,15.8632221,30.31688557,0,43.1121525190575,NA,"No_shrub",0
"Q52",2011,4,4.769035601813,1.14855357,32.01075717,1,43.1121525190575,NA,"No_shrub",1
"Q52",2011,5,4.611583239859,25.09683224,0.98257344,1,43.1121525190575,NA,"No_shrub",1
"Q52",2011,6,1.93436476778501,51.93598813,96.00353583,1,43.1121525190575,NA,"No_shrub",0
"Q52",2011,7,0.421972064334,51.19672145,91.27683425,0,43.1121525190575,NA,"No_shrub",0
"Q52",2011,8,0.25,1.359445,87.292531,1,43.1121525190575,NA,"No_shrub",1
"Q52",2011,9,0.25,1.227152,83.015092,1,43.1121525190575,NA,"No_shrub",1
"Q52",2012,1,3.270665744836,79.34799922,44.06121177,0,37.0578087074485,2,"No_shrub",0
"Q52",2012,12,3.391668735176,47.17921253,88.62866818,0,37.0578087074485,2,"No_shrub",0
"Q52",2012,13,1.67224351894851,50.86498666,88.08043999,0,37.0578087074485,2,"No_shrub",0
"Q52",2012,14,0.662856466084498,51.32996639,94.8385664,0,37.0578087074485,1,"No_shrub",0
"Q52",2012,15,1.9206143175545,17.42378297,31.34510282,0,37.0578087074485,1,"No_shrub",1
"Q52",2012,16,0.25,90.037471,8.186387,0,37.0578087074485,1,"No_shrub",0
"Q52",2012,17,0.25,52.99573,88.454516,0,37.0578087074485,1,"No_shrub",0
"Q52",2012,18,0.25,50.515256,90.405823,0,37.0578087074485,1,"No_shrub",0
"Q52",2012,2,10.4435410316885,40.07470783,42.97257556,0,37.0578087074485,2,"No_shrub",1
"Q52",2012,4,7.5358905086615,3.00943253,34.03171216,1,37.0578087074485,2,"No_shrub",1
"Q52",2012,5,6.2092501326835,26.97002806,0.67964678,1,37.0578087074485,2,"No_shrub",1
"Q52",2012,6,0.951078251815511,53.09495584,96.40488879,1,37.0578087074485,2,"No_shrub",0
"Q52",2012,9,0.25,1.269585,82.534452,1,37.0578087074485,2,"No_shrub",1
"Q52",2013,1,15.316993061105,78.18824971,41.66885245,0,107.697963021638,3,"No_shrub",0
"Q52",2013,12,34.748892698471,46.20047968,90.37143957,0,107.697963021638,3,"No_shrub",0
"Q52",2013,13,4.3654870418555,50.02529471,86.87828398,0,107.697963021638,3,"No_shrub",0
"Q52",2013,19,0.2204960032065,19.08924124,0.05902038,1,107.697963021638,1,"No_shrub",0
"Q52",2013,2,34.195258001307,40.05095542,41.63474308,0,107.697963021638,3,"No_shrub",1
"Q52",2013,20,0.25,49.212495,90.642344,0,107.697963021638,1,"No_shrub",0
"Q52",2013,21,0.25,90.487578,6.081342,0,107.697963021638,1,"No_shrub",0
"Q52",2013,22,0.25,53.551671,16.453029,0,107.697963021638,1,"No_shrub",1
"Q52",2013,23,0.25,67.257114,36.349736,0,107.697963021638,1,"No_shrub",0
"Q52",2013,24,0.25,52.916669,32.645562,0,107.697963021638,1,"No_shrub",1
