"quad","year","totCover"
"Q1",2007,454.574487518366
"Q19",2007,852.20503904184
"Q20",2007,549.484453212718
"Q21",2007,135.863169457737
"Q22",2007,478.695028167706
"Q23",2007,143.706573962537
"Q24",2007,37.8305267376545
"Q4",2007,63.927178023964
"Q5",2007,17.3880202795015
"Q1",2008,377.791599910169
"Q19",2008,610.046789695922
"Q20",2008,393.809745242759
"Q21",2008,94.963311658545
"Q22",2008,375.477149119676
"Q23",2008,254.353420305804
"Q24",2008,21.1466024879705
"Q4",2008,43.5398483897795
"Q1",2009,324.09364468669
"Q19",2009,569.589442358914
"Q2",2009,0.499999999999998
"Q20",2009,221.173206882379
"Q21",2009,71.3473003239445
"Q22",2009,309.017969705413
"Q23",2009,181.902593445146
"Q24",2009,59.547267994867
"Q4",2009,19.696162091765
"Q6",2009,0.25
"Q1",2010,435.74133840436
"Q19",2010,448.025442720866
"Q20",2010,156.545965877739
"Q21",2010,18.275940933476
"Q22",2010,312.543201969533
"Q23",2010,205.010801303722
"Q24",2010,40.531921875494
"Q3",2010,1
"Q4",2010,25.918996174549
"Q1",2011,270.852835593335
"Q19",2011,457.145292099074
"Q20",2011,147.434813381886
"Q21",2011,6.408826740696
"Q22",2011,282.739173926623
"Q23",2011,285.063737914029
"Q24",2011,26.1793130679045
"Q32",2011,105.084575177642
"Q38",2011,56.659014874219
"Q39",2011,5.13783160982651
"Q4",2011,18.9569886237285
"Q41",2011,66.155932385869
"Q42",2011,75.2649170019915
"Q45",2011,3.818054315173
"Q48",2011,129.720749997352
"Q49",2011,14.4283698306955
"Q51",2011,99.7234050207716
"Q52",2011,43.1121525190575
"Q53",2011,1.2134134008155
"Q54",2011,62.8417172231085
"Q56",2011,0.25
"Q58",2011,64.4842278608535
"Q60",2011,64.109164527943
"Q62",2011,268.242188739088
"Q1",2012,236.759615584406
"Q19",2012,380.52624907655
"Q20",2012,123.020964321008
"Q21",2012,25.262444663771
"Q22",2012,281.364912768769
"Q23",2012,255.664625531638
"Q24",2012,33.693790050074
"Q32",2012,118.543887569785
"Q38",2012,53.523080170377
"Q39",2012,0.5
"Q4",2012,28.5919110610475
"Q41",2012,39.3684698720615
"Q42",2012,102.23307889622
"Q45",2012,29.8770436941
"Q46",2012,6.605736128894
"Q48",2012,67.016809141151
"Q49",2012,5.87587688725599
"Q50",2012,0.25
"Q51",2012,12.511686295215
"Q52",2012,37.0578087074485
"Q53",2012,5.3320717768155
"Q54",2012,52.637540742236
"Q58",2012,9.72542535957051
"Q60",2012,7.42717576727898
"Q62",2012,44.6780392519605
"Q1",2013,463.238260758577
"Q19",2013,281.750962291181
"Q20",2013,157.180461317968
"Q21",2013,20.219154481513
"Q22",2013,274.709398432862
"Q23",2013,217.836853558391
"Q24",2013,37.936134973062
"Q32",2013,176.361468737434
"Q38",2013,62.9670596909275
"Q39",2013,0.0168016670955
"Q4",2013,27.1651706599775
"Q41",2013,17.0211096013785
"Q42",2013,94.177416579644
"Q45",2013,10.8312813854915
"Q46",2013,2.1847681601
"Q48",2013,19.28294299001
"Q51",2013,1
"Q52",2013,107.697963021638
"Q53",2013,17.00545096028
"Q54",2013,94.605085604702
"Q58",2013,0.5
"Q60",2013,0.991965214725496
"Q62",2013,23.9959500245905
"Q1",2014,313.027773558283
"Q19",2014,420.473982271522
"Q20",2014,105.050825803326
"Q21",2014,22.0428133605515
"Q22",2014,576.889249359834
"Q23",2014,461.368417819854
"Q24",2014,83.553052720485
"Q28",2014,3.82959523690651
"Q3",2014,10.858134398476
"Q32",2014,307.784064221456
"Q38",2014,116.394561368337
"Q4",2014,39.577445665466
"Q41",2014,13.9702881391155
"Q42",2014,108.774194484198
"Q45",2014,3.40362416529003
"Q46",2014,15.0903145428805
"Q48",2014,17.0142764207935
"Q52",2014,235.603407988125
"Q53",2014,7.9637263467
"Q54",2014,77.4429819191425
"Q58",2014,0.250000000000001
"Q62",2014,1
"Q1",2015,231.047153727864
"Q19",2015,275.045198803487
"Q20",2015,45.523464089424
"Q21",2015,55.746034362998
"Q22",2015,195.308918456758
"Q23",2015,319.240335155452
"Q24",2015,21.3787783212
"Q28",2015,1.5
"Q32",2015,173.468349266527
"Q37",2015,0.25
"Q38",2015,188.671863334768
"Q4",2015,30.504250918013
"Q41",2015,0.75
"Q42",2015,89.6912135712795
"Q46",2015,4.211318101191
"Q52",2015,136.699478146538
"Q53",2015,23.603110474302
"Q54",2015,126.248105277957
"Q62",2015,0.5
"Q1",2016,363.336232911299
"Q19",2016,322.457289216728
"Q20",2016,111.13917051826
"Q21",2016,34.6786432887935
"Q22",2016,304.294864222046
"Q23",2016,232.578341243225
"Q24",2016,78.871814190426
"Q28",2016,0.25
"Q3",2016,0.249999999999999
"Q31",2016,0.625662388438996
"Q32",2016,106.853883313732
"Q38",2016,50.6764172898765
"Q39",2016,0.742380175364495
"Q4",2016,44.171375592675
"Q41",2016,2.541071818367
"Q42",2016,189.547041819085
"Q46",2016,9.56061607356399
"Q48",2016,2.18682880312701
"Q49",2016,9.89169862044249
"Q52",2016,136.967257979239
"Q53",2016,22.087815197055
"Q54",2016,135.017734419017
"Q60",2016,1.25
"Q61",2016,2.0048333995525
"Q62",2016,1.75
