"waic","lppd","p_waic","elpd_waic","p_loo","elpd_loo","waic_se","lppd_se","p_waic_se","elpd_waic_se","p_loo_se","elpd_loo_se","type","fn"
765.720185273497,-331.084306973572,51.7757856631765,-382.860092636748,27.7069576770813,-358.791264650653,102.105451708166,45.4497567192417,6.62900126059129,51.0527258540831,2.40026436782522,46.0732624475901,"in_sample","ARTR_growth_1_10_4_WAIC.csv"
706.977059220596,-130.207495234573,223.281034375725,-353.488529610298,155.309606430029,-285.517101664602,75.4245730784541,12.2481087824847,26.6395725477462,37.712286539227,6.50952271118763,16.3238409624315,"out_of_sample","ARTR_growth_1_10_4_WAIC.csv"
764.161796463595,-330.766459683839,51.314438547959,-382.080898231798,27.2466779299275,-358.013137613766,102.209297199778,45.4615378428083,6.5825697492651,51.1046485998889,2.34935621096503,46.0703568720731,"in_sample","ARTR_growth_1_11_4_WAIC.csv"
748.785174380842,-129.215301099877,245.177286090544,-374.392587190421,165.126076459109,-294.341377558986,79.1276760911433,11.7748138214071,28.8714813482969,39.5638380455717,6.59623825048078,16.0171594518849,"out_of_sample","ARTR_growth_1_11_4_WAIC.csv"
764.141633035753,-331.045155886543,51.0256606313337,-382.070816517876,27.4762877276254,-358.521443614168,102.087858477023,45.5610809925097,6.4929433680428,51.0439292385117,2.40960455016978,46.182732514508,"in_sample","ARTR_growth_1_12_4_WAIC.csv"
765.388321671971,-129.475587554261,253.218573281724,-382.694160835986,169.577859967561,-299.053447521823,78.7823470457761,11.3714184675122,29.1677517344162,39.391173522888,6.7441840264031,16.1503900901658,"out_of_sample","ARTR_growth_1_12_4_WAIC.csv"
764.767117334892,-331.148531453198,51.2350272142477,-382.383558667446,27.5339518669841,-358.682483320182,101.988329732665,45.5367068369076,6.50068815001152,50.9941648663325,2.3966962887657,46.1590643596239,"in_sample","ARTR_growth_1_13_4_WAIC.csv"
764.780643363648,-129.776277076281,252.614044605543,-382.390321681824,163.189127071283,-292.965404147564,81.0996293630865,11.7382613264075,30.3048949402462,40.5498146815433,6.67346322384741,16.322667050287,"out_of_sample","ARTR_growth_1_13_4_WAIC.csv"
764.359650736922,-330.861002172812,51.3188231956493,-382.179825368461,27.5142476956489,-358.375249868461,102.067401715156,45.481783856007,6.50308912877519,51.0337008575781,2.38808203476675,46.0996073194068,"in_sample","ARTR_growth_1_14_4_WAIC.csv"
802.497335426985,-130.115038830973,271.13362888252,-401.248667713493,174.654699310218,-304.76973814119,84.3964053268597,11.4964472220562,32.0197693937568,42.1982026634299,6.68211067308242,16.0757319764685,"out_of_sample","ARTR_growth_1_14_4_WAIC.csv"
765.14659405147,-330.988750665784,51.5845463599513,-382.573297025735,27.5607304720061,-358.54948113779,102.205374757223,45.5091942494594,6.59659229864922,51.1026873786115,2.38470892107249,46.1228076876878,"in_sample","ARTR_growth_1_1_4_WAIC.csv"
749.43541535793,-130.129989301105,244.58771837786,-374.717707678965,165.588625607097,-295.718614908202,78.4495711894852,11.9319562468201,28.5971540260451,39.2247855947426,6.55518919860353,16.1830092023108,"out_of_sample","ARTR_growth_1_1_4_WAIC.csv"
764.055372982582,-330.887465724739,51.140220766552,-382.027686491291,27.3788971354295,-358.266362860168,102.068892010242,45.4664142733277,6.55956055768758,51.0344460051212,2.38483774012758,46.084998476757,"in_sample","ARTR_growth_1_15_4_WAIC.csv"
772.421091627741,-130.362287300664,255.848258513207,-386.21054581387,165.578698364139,-295.940985664803,81.0915360595403,11.7907209960174,29.973962873286,40.5457680297702,6.70183331382717,16.3245383020366,"out_of_sample","ARTR_growth_1_15_4_WAIC.csv"
765.181544622876,-331.045335813677,51.5454364977613,-382.590772311438,27.4606262196457,-358.505962033322,102.165860036292,45.4586894111962,6.56521830987541,51.082930018146,2.3550764677791,46.0673025859337,"in_sample","ARTR_growth_1_16_4_WAIC.csv"
742.213340077147,-129.382059565268,241.724610473305,-371.106670038574,162.46469916566,-291.846758730928,77.1766204409786,11.8086203372459,27.9294268810585,38.5883102204893,6.64460216957145,16.2411684853146,"out_of_sample","ARTR_growth_1_16_4_WAIC.csv"
764.011780080217,-330.872618792893,51.1332712472151,-382.005890040109,27.1880088786987,-358.060627671592,102.016382290559,45.4352035854328,6.57996291541717,51.0081911452796,2.3370974718907,46.0436717855893,"in_sample","ARTR_growth_1_17_4_WAIC.csv"
739.938789590484,-129.190639098413,240.778755696829,-369.969394795242,160.866793850424,-290.057432948838,79.7036335813636,11.8492164764044,29.2740393927632,39.8518167906818,6.74221214304699,16.2634541912883,"out_of_sample","ARTR_growth_1_17_4_WAIC.csv"
765.814494235172,-330.83246708384,52.0747800337461,-382.907247117586,27.6025751099456,-358.435042193786,102.201939464528,45.3726074956167,6.75164436294911,51.1009697322638,2.37313052078738,45.9965105614886,"in_sample","ARTR_growth_1_18_4_WAIC.csv"
732.37951410813,-129.124819714213,237.064937339852,-366.189757054065,161.365461951948,-290.490281666161,79.7036126304849,11.9529982962191,29.2917030456128,39.8518063152425,6.54494509699547,16.2331968687602,"out_of_sample","ARTR_growth_1_18_4_WAIC.csv"
766.315739974861,-331.077837912108,52.0800320753227,-383.157869987431,27.8064152713984,-358.884253183506,102.104490328482,45.3254588839272,6.68798942174301,51.0522451642409,2.42466953004826,45.9540039817643,"in_sample","ARTR_growth_1_19_4_WAIC.csv"
711.347981720541,-129.360205871989,226.313784988282,-355.673990860271,155.448866362823,-284.809072234812,76.2655678404182,12.1818826229931,27.1477976401903,38.1327839202091,6.5985262876057,16.2413766978894,"out_of_sample","ARTR_growth_1_19_4_WAIC.csv"
