"","model","species","vital_rate","lambda","waic","lppd","p_waic","elpd_waic","p_loo","elpd_loo","waic_se","lppd_se","p_waic_se","elpd_waic_se","p_loo_se","elpd_loo_se","fn","chains","pars","sd","niter","nlambda","index","mean_lppd","sd_lppd","outlier","max_lppd","lfit","lfit.se","lppd_diff"
"1",1,"ARTR","growth",40,1026.040333859,-323.302726794654,189.717440134844,-513.020166929498,124.176110791072,-447.478837585726,90.644792500477,11.9629293910871,37.7433541217828,45.3223962502385,7.03404497684569,15.5724247319421,"ARTR_growth_1_40_4_WAIC.csv","4","c('a', 'b1_mu', 'b1', 'w', 'b2', 'mu', 'muhat', 'log_lik', 'log_lik2', 'bg', 'sig_a', 'sig_b1', 'sigma', 'gint_out', 'climhat')",0.00673794699908547,2000,40,40,-355.6590721796,17.2538634226782,FALSE,-323.302726794654,-317.268643527173,1.54898733869638,0
"2",1,"HECO","growth",36,3193.96150976525,-1060.72535571118,536.255399171446,-1596.98075488263,238.961790062444,-1299.68714577362,201.702736523353,43.510250241022,68.4006224333309,100.851368261676,8.10712853077111,46.2545748376929,"HECO_growth_1_36_4_WAIC.csv","4","c('a', 'b1_mu', 'b1', 'w', 'b2', 'mu', 'muhat', 'log_lik', 'log_lik2', 'bg', 'sig_a', 'sig_b1', 'sigma', 'gint_out', 'climhat')",0.0141730889555137,2000,40,76,-1082.5421352373,16.5216712401157,FALSE,-1060.06641005471,-1061.21998446447,0.599951226282838,-0.658945656469996
"3",1,"POSE","growth",40,9407.5296973288,-3873.21954049542,830.545308168978,-4703.7648486644,501.887520088102,-4375.10706058352,189.587423410673,64.7267694791877,32.4952702491778,94.7937117053366,10.0169806304839,69.3412403932465,"POSE_growth_1_40_4_WAIC.csv","4","c('a', 'b1_mu', 'b1', 'w', 'b2', 'mu', 'muhat', 'log_lik', 'log_lik2', 'bg', 'sig_a', 'sig_b1', 'sigma', 'gint_out', 'climhat')",0.00673794699908547,2000,40,120,-3946.55217781634,48.5926174758856,FALSE,-3863.186710016,-3863.05024387276,3.75727779822693,-10.0328304794202
"4",1,"PSSP","growth",40,6042.66027421146,-2345.72532491269,675.604812193043,-3021.33013710573,320.977025797892,-2666.70235071058,216.188896528299,70.0311177028503,40.3548019942604,108.09444826415,8.49852279717707,72.4380401290249,"PSSP_growth_1_40_4_WAIC.csv","4","c('a', 'b1_mu', 'b1', 'w', 'b2', 'mu', 'muhat', 'log_lik', 'log_lik2', 'bg', 'sig_a', 'sig_b1', 'sigma', 'gint_out', 'climhat')",0.00673794699908547,2000,40,160,-2412.8292502047,41.4461022485404,FALSE,-2345.72532491269,-2342.2824833644,3.79008020787331,0
"5",1,"ARTR","recruitment",34,541.313464800405,-169.654432088754,101.002300311449,-270.656732400203,77.8351593471699,-247.489591435924,44.2816423550173,7.81375557637583,16.060420210668,22.1408211775087,1.7536487290847,8.33367983701446,"ARTR_recruitment_1_34_4_WAIC.csv","4","c('a', 'theta', 'u', 'w', 'b2', 'log_lik', 'log_lik2', 'lambda', 'lambda_pred', 'bg', 'sig_a', 'gint_out', 'climhat')",0.0205557332924973,2000,40,194,-204.565481858248,32.2347693871264,FALSE,-167.387829107862,-166.927030696399,0.715009328641771,-2.266602980892
"6",1,"HECO","recruitment",33,1054.94190370946,-261.032449157606,266.438502697121,-527.470951854728,43.2507535351604,-304.283202692767,186.534898886171,19.0039291567598,81.0319190115752,93.2674494430857,2.17756521382887,20.1488408480402,"HECO_recruitment_1_33_4_WAIC.csv","4","c('a', 'theta', 'u', 'w', 'b2', 'log_lik', 'log_lik2', 'lambda', 'lambda_pred', 'bg', 'sig_a', 'gint_out', 'climhat')",0.0247552436263134,2000,40,233,-296.195640488841,32.1257617115926,FALSE,-260.35687284815,-257.945022758891,1.04569515865614,-0.675576309456005
"7",1,"POSE","recruitment",25,4108.90528018027,-529.431237347998,1525.02140274214,-2054.45264009013,72.5670551171762,-601.998292465174,1138.22135209065,19.5198202752612,555.392992570127,569.110676045324,2.80248047097395,17.7206864634761,"POSE_recruitment_1_25_4_WAIC.csv","4","c('a', 'theta', 'u', 'w', 'b2', 'log_lik', 'log_lik2', 'lambda', 'lambda_pred', 'bg', 'sig_a', 'gint_out', 'climhat')",0.109532008043728,2000,40,265,-531.500161373265,0.937448476082969,FALSE,-529.431237347998,-530.429861011417,0.162049242285103,0
"8",1,"PSSP","recruitment",25,1717.09044002735,-441.450223767307,417.094996246368,-858.545220013675,114.717059532972,-556.16728330028,188.581758840476,13.3575642957948,85.5893130167512,94.2908794202381,3.82114570149747,10.8276081565944,"PSSP_recruitment_1_25_4_WAIC.csv","4","c('a', 'theta', 'u', 'w', 'b2', 'log_lik', 'log_lik2', 'lambda', 'lambda_pred', 'bg', 'sig_a', 'gint_out', 'climhat')",0.109532008043728,2000,40,305,-450.950904722295,5.79840018689625,FALSE,-440.671608800455,-443.179767839589,0.531509063822545,-0.778614966852047
"9",1,"ARTR","survival",36,169.950230643265,-60.8961336491497,24.0789816724828,-84.9751153216324,18.6459696356911,-79.5421032848407,28.5410388132893,9.4175847997821,5.79511357138562,14.2705194066447,3.26486409232055,12.1552926585138,"ARTR_survival_1_36_4_WAIC.csv","4","c('a', 'b1_mu', 'b1', 'w', 'b2', 'mu', 'muhat', 'log_lik', 'log_lik2', 'bg', 'sig_a', 'sig_b1', 'gint_out', 'climhat')",0.0141730889555137,2000,40,356,-65.0880179387646,3.68331626811194,FALSE,-60.6891600446967,-60.6658377500289,0.0596628283472839,-0.206973604452998
"10",1,"HECO","survival",35,870.450120322972,-312.358701992021,122.866358169465,-435.225060161486,104.562926824812,-416.921628816833,82.5043592973034,30.882691346505,10.6187776235651,41.2521796486517,5.9436651583981,34.1506683355999,"HECO_survival_1_35_4_WAIC.csv","4","c('a', 'b1_mu', 'b1', 'w', 'b2', 'mu', 'muhat', 'log_lik', 'log_lik2', 'bg', 'sig_a', 'sig_b1', 'gint_out', 'climhat')",0.0170686331175164,2000,40,395,-315.01253929495,2.20931110302725,FALSE,-311.265821723866,-312.431921467452,0.195895055010906,-1.092880268155
