logger,plot,date_started,date_uploaded
EL5742,1,2015-11-04,2016-05-10
EL5740,2,2015-11-04,2016-05-10
EM6843,7,2015-11-04,2016-05-10
EM20068,8,2015-11-04,2016-05-10
EM20069,11,2015-11-04,2016-05-10
EM20086,12,2015-11-04,2016-05-10
EM6845,15,2015-11-04,2016-05-10
EL5743,16,2015-11-04,2016-05-10
EL5739,1_2_C,2015-11-04,2016-05-10
EM20070,11_12_C,2015-11-04,2016-05-10
EM20067,15_16_C,2015-11-04,2016-05-10
EM20085,7_8_C,2015-11-04,2016-05-10
