"","year","month","day","Tmax","Tmin","Ppt","interpYN"
"179",1925,6,28,95,45,0,0
"180",1925,6,29,85,38,0.23,0
"181",1925,6,30,80,55,0.11,0
"182",1925,7,1,85,42,0.2,0
"183",1925,7,2,80,38,0,0
"184",1925,7,3,85,45,0,0
"185",1925,7,4,80,40,0,0
"186",1925,7,5,88,45,0.23,0
"187",1925,7,6,88,48,0.05,0
"188",1925,7,7,85,45,0,0
"189",1925,7,8,85,45,0,0
"190",1925,7,9,85,48,0,0
"191",1925,7,10,93,45,0,0
"192",1925,7,11,90,50,0,0
"193",1925,7,12,88,50,0,0
"194",1925,7,13,100,52,0,0
"195",1925,7,14,97,50,0,0
"196",1925,7,15,93,52,0.12,0
"197",1925,7,16,92,50,0,0
"198",1925,7,17,95,48,0,0
"199",1925,7,18,93,45,0,0
"200",1925,7,19,95,50,0.02,0
"201",1925,7,20,95,50,0,0
"202",1925,7,21,84,48,0.05,0
"203",1925,7,22,82,42,0.03,0
"204",1925,7,23,83,45,0.1,0
"205",1925,7,24,90,47,0,0
"206",1925,7,25,88,45,0,0
"207",1925,7,26,90,48,0,0
"208",1925,7,27,90,55,0,0
"209",1925,7,28,94,50,0.04,0
"210",1925,7,29,85,47,0.05,0
"211",1925,7,30,81,53,0,0
"212",1925,7,31,84,48,0,0
"213",1925,8,1,85,47,0,0
"214",1925,8,2,88,50,0,0
"215",1925,8,3,87,48,0,0
"216",1925,8,4,90,50,0,0
"217",1925,8,5,85,48,0,0
"218",1925,8,6,87,47,0,0
"219",1925,8,7,89,45,0,0
"220",1925,8,8,84,50,0,0
"221",1925,8,9,88,45,0,0
"222",1925,8,10,83,47,0.1,0
"223",1925,8,11,90,45,0,0
"224",1925,8,12,80,45,0,0
"225",1925,8,13,80,45,2,0
"226",1925,8,14,70,30,0,0
"227",1925,8,15,70,35,0,0
"228",1925,8,16,75,40,0,0
"229",1925,8,17,85,45,0,0
"230",1925,8,18,80,50,0,0
"231",1925,8,19,82,47,0,0
"232",1925,8,20,84,45,0,0
"233",1925,8,21,87,45,0,0
"234",1925,8,22,85,40,0,0
"235",1925,8,23,85,33,0,0
"236",1925,8,24,80,40,0,0
"237",1925,8,25,82,37,0,0
"238",1925,8,26,80,35,0.4,0
"239",1925,8,27,80,38,0.17,0
"240",1925,8,28,78,50,0,0
"241",1925,8,29,82,42,0,0
"242",1925,8,30,84,45,0,0
"243",1925,8,31,80,48,0,0
"244",1925,9,1,74,45,0.03,0
"245",1925,9,2,87,48,0,0
"246",1925,9,3,78,46,0,0
"247",1925,9,4,76,48,0,0
"248",1925,9,5,78,45,0,0
"249",1925,9,6,78,42,0,0
"250",1925,9,7,74,45,0,0
"251",1925,9,8,76,48,0,0
"252",1925,9,9,79,45,0,0
"253",1925,9,10,72,47,0,0
"254",1925,9,11,74,44,0,0
"255",1925,9,12,76,46,0,0
"256",1925,9,13,78,47,0.53,0
"257",1925,9,14,70,32,0,0
"258",1925,9,15,72,34,0.05,0
"259",1925,9,16,73,30,0.03,0
"260",1925,9,17,70,30,0.33,0
"261",1925,9,18,70,30,0.2,0
"262",1925,9,19,72,34,0,0
"263",1925,9,20,65,32,0,0
"264",1925,9,21,60,30,0,0
"265",1925,9,22,64,36,0,0
"266",1925,9,23,67,38,0,0
"267",1925,9,24,62,35,0,0
"268",1925,9,25,67,38,0,0
"269",1925,9,26,72,45,0,0
"270",1925,9,27,74,45,0,0
"271",1925,9,28,67,36,0.4,0
"272",1925,9,29,52,26,0.5,0
"273",1925,9,30,62,35,0,0
"274",1925,10,1,65,38,0,0
"275",1925,10,2,66,36,0,0
"276",1925,10,3,68,34,0,0
"277",1925,10,4,65,35,0,0
"278",1925,10,5,70,37,0.4,0
"279",1925,10,6,55,35,0.02,0
"280",1925,10,7,52,38,0,0
"281",1925,10,8,56,28,0,0
"282",1925,10,9,55,25,0,0
"283",1925,10,10,60,35,0,0
"284",1925,10,11,60,30,0.76,0
"285",1925,10,12,60,30,0,0
"286",1925,10,13,65,28,0,0
"287",1925,10,14,60,27,0,0
"288",1925,10,15,62,24,0,0
"289",1925,10,16,62,12,0,0
"290",1925,10,17,60,20,0,0
"291",1925,10,18,62,22,0,0
"292",1925,10,19,60,23,0,0
"293",1925,10,20,62,24,0,0
"294",1925,10,21,62,26,0,0
"295",1925,10,22,62,22,0,0
"296",1925,10,23,62,24,0,0
"297",1925,10,24,62,20,0,0
"298",1925,10,25,62,16,0,0
"299",1925,10,26,62,16.2222222222222,0,1
"300",1925,10,27,62,16.4444444444444,0,1
"301",1925,10,28,62,16.6666666666667,0,1
"302",1925,10,29,62,16.8888888888889,0,1
"303",1925,10,30,62,17.1111111111111,0,1
"304",1925,10,31,62,17.3333333333333,0,1
"305",1925,11,1,62,17.5555555555556,0,1
"306",1925,11,2,62,17.7777777777778,0.45,1
"307",1925,11,3,62,18,0,1
"308",1925,11,4,62,15,0,0
"309",1925,11,5,62.6666666666667,38,0,1
"310",1925,11,6,63.3333333333333,26,0,1
"311",1925,11,7,64,14,0,0
"312",1925,11,8,45,19,0,0
"313",1925,11,9,45,20,0,0
"314",1925,11,10,47,21,0,0
"315",1925,11,11,44,14,0,0
"316",1925,11,12,52,19,0,0
"317",1925,11,13,42,12,0,0
"318",1925,11,14,42,15,0,1
"319",1925,11,15,42,18,0,0
"320",1925,11,16,44,19,0,0
"321",1925,11,17,49,7,0,0
"322",1925,11,18,43,15,0,0
"323",1925,11,19,44,16,0,0
"324",1925,11,20,44,17,0,0
"325",1925,11,21,43.5,16.5,0,1
"326",1925,11,22,43,16,0,0
"327",1925,11,23,43,18,0,0
"328",1925,11,24,46,21,0,0
"329",1925,11,25,46,20,0,1
"330",1925,11,26,46,21,0,1
"331",1925,11,27,42.5,22,0,1
"332",1925,11,28,39,23,0,0
"333",1925,11,29,40,21,0,0
"334",1925,11,30,42,32,0,0
"335",1925,12,1,39,25,0.23,0
"336",1925,12,2,35,19,0.31,0
"337",1925,12,3,38,20,0,0
"338",1925,12,4,32,25,0,0
"339",1925,12,5,32,27,0,0
"340",1925,12,6,34,31,0.03,0
"341",1925,12,7,34,27,0,0
"342",1925,12,8,42,26,0,0
"343",1925,12,9,38,22,0,0
"344",1925,12,10,28,27,0,0
"345",1925,12,11,30,29,0.06,0
"346",1925,12,12,35,32,0.14,0
"347",1925,12,13,37,32,0,0
"348",1925,12,14,34,19,0,0
"349",1925,12,15,29,15,0,0
"350",1925,12,16,37,15,0,0
"351",1925,12,17,37,19,0,0
"352",1925,12,18,35,22,0,0
"353",1925,12,19,32,14,0.2,0
"354",1925,12,20,30,10,0,0
"355",1925,12,21,29,5,0,0
"356",1925,12,22,32,12,0.08,0
"357",1925,12,23,37,11,0.1,0
"358",1925,12,24,34,15,0,0
"359",1925,12,25,40,13,0,0
"360",1925,12,26,35,12,0,0
"361",1925,12,27,40,2,0,0
"362",1925,12,28,51,8,0,0
"363",1925,12,29,40,15,0,0
"364",1925,12,30,32,13,0,0
"365",1925,12,31,32,6,0,0
"366",1926,1,1,36,0,0,0
"367",1926,1,2,40,12,0,0
"368",1926,1,3,25,2,0,0
"369",1926,1,4,28,15,0,0
"370",1926,1,5,27,4,0,0
"371",1926,1,6,35,4,0,0
"372",1926,1,7,27,0,0,0
"373",1926,1,8,24,2,0,0
"374",1926,1,9,34,0,0,0
"375",1926,1,10,32,7,0,0
"376",1926,1,11,34,7,0,0
"377",1926,1,12,35,1,0,0
"378",1926,1,13,35,5,0,0
"379",1926,1,14,32,3,0,0
"380",1926,1,15,32,11,0,0
"381",1926,1,16,24,12,0.03,0
"382",1926,1,17,29,16,0,0
"383",1926,1,18,34,20,0,0
"384",1926,1,19,28,11,0.13,0
"385",1926,1,20,25,-3,0,0
"386",1926,1,21,28,9,0.1,0
"387",1926,1,22,28,0,0,0
"388",1926,1,23,33,12,0,0
"389",1926,1,24,30,11,0,0
"390",1926,1,25,26,9,0.06,0
"391",1926,1,26,30,8,0,0
"392",1926,1,27,37,15,0,0
"393",1926,1,28,29,9,0,0
"394",1926,1,29,30,14,0.19,0
"395",1926,1,30,30,20,0,0
"396",1926,1,31,35,20,0,0
"397",1926,2,1,38,23,0.06,0
"398",1926,2,2,32,13,0,0
"399",1926,2,3,35,27,0.08,0
"400",1926,2,4,34,25,0.02,0
"401",1926,2,5,33,19,0,0
"402",1926,2,6,36,25,0,0
"403",1926,2,7,37,32,0,0
"404",1926,2,8,41,27,0,0
"405",1926,2,9,40.3333333333333,28,0,1
"406",1926,2,10,39.6666666666667,29,0,1
"407",1926,2,11,39,30,0.12,0
"408",1926,2,12,34,15,0.14,0
"409",1926,2,13,32,24,0,0
"410",1926,2,14,28,5,0,0
"411",1926,2,15,31,9,0,0
"412",1926,2,16,44,24,0,0
"413",1926,2,17,41,19,0,0
"414",1926,2,18,35,14,0,0
"415",1926,2,19,40,12,0,0
"416",1926,2,20,38,23,0.01,0
"417",1926,2,21,39,13,0,0
"418",1926,2,22,35,18,0,0
"419",1926,2,23,34,15,0.05,0
"420",1926,2,24,40,18,0,0
"421",1926,2,25,39,20,0,0
"422",1926,2,26,37,15,0,0
"423",1926,2,27,45,23,0,0
"424",1926,2,28,42,24,0,0
"425",1926,3,1,41,19,0,0
"426",1926,3,2,49,20,0,0
"427",1926,3,3,45,24,0,0
"428",1926,3,4,40,22,0,0
"429",1926,3,5,32,28,0,0
"430",1926,3,6,32,18,0,0
"431",1926,3,7,39,16,0,0
"432",1926,3,8,45,25,0,0
"433",1926,3,9,49,29,0,0
"434",1926,3,10,42,30,0,0
"435",1926,3,11,42,23,0,0
"436",1926,3,12,42,27,0,0
"437",1926,3,13,50,31,0,0
"438",1926,3,14,52,33,0,0
"439",1926,3,15,51,30,0,0
"440",1926,3,16,52,30,0,0
"441",1926,3,17,52,32,0.02,0
"442",1926,3,18,51,32,0,0
"443",1926,3,19,54,32,0,0
"444",1926,3,20,57,30,0,0
"445",1926,3,21,58,35,0,0
"446",1926,3,22,61,32,0,0
"447",1926,3,23,63,35,0,0
"448",1926,3,24,49,27,0,0
"449",1926,3,25,40,22,0,0
"450",1926,3,26,42,20,0,0
"451",1926,3,27,41,22,0,0
"452",1926,3,28,34,22,0,0
"453",1926,3,29,33,12,0,0
"454",1926,3,30,31,23,0,0
"455",1926,3,31,33,24,0.06,0
"456",1926,4,1,38,16,0,0
"457",1926,4,2,40,20,0,0
"458",1926,4,3,42,32,0.02,0
"459",1926,4,4,50,34,0.01,0
"460",1926,4,5,48,34,0.22,0
"461",1926,4,6,52,33,0.01,0
"462",1926,4,7,58,39,0.14,0
"463",1926,4,8,58,39,0,0
"464",1926,4,9,60,35,0,0
"465",1926,4,10,65,37,0,0
"466",1926,4,11,68,38,0,0
"467",1926,4,12,60,32,0,0
"468",1926,4,13,61,35,0,0
"469",1926,4,14,70,37,0,0
"470",1926,4,15,74,35,0,0
"471",1926,4,16,74,37,0,0
"472",1926,4,17,73,38,0,0
"473",1926,4,18,74,42,0,0
"474",1926,4,19,68,44,0.08,0
"475",1926,4,20,66,43,0,0
"476",1926,4,21,66,37,0,0
"477",1926,4,22,62,40,0.02,0
"478",1926,4,23,57,30,0,0
"479",1926,4,24,66,30,0,0
"480",1926,4,25,73,39,0,0
"481",1926,4,26,71,41,0,0
"482",1926,4,27,71,41,0,0
"483",1926,4,28,76,34,0,0
"484",1926,4,29,79,38,0,0
"485",1926,4,30,76,38,0,0
"486",1926,5,1,70,42,0,0
"487",1926,5,2,72,37,0,0
"488",1926,5,3,77,40,0,0
"489",1926,5,4,72,44,0,0
"490",1926,5,5,66,38,0.2,0
"491",1926,5,6,51,32,0.18,0
"492",1926,5,7,57,32,0.03,0
"493",1926,5,8,55,35,0,0
"494",1926,5,9,51,33,0,0
"495",1926,5,10,53,31,0,0
"496",1926,5,11,60,38,0,0
"497",1926,5,12,60,39,0,0
"498",1926,5,13,68,32,0,0
"499",1926,5,14,74,35,0,0
"500",1926,5,15,73,38,0,0
"501",1926,5,16,72,39,0,0
"502",1926,5,17,68,41,0.05,0
"503",1926,5,18,70,39,0,0
"504",1926,5,19,78,37,0,0
"505",1926,5,20,73,40,0,0
"506",1926,5,21,68,28,0,0
"507",1926,5,22,82,33,0,0
"508",1926,5,23,79,46,0,0
"509",1926,5,24,79,37,0,0
"510",1926,5,25,61,30,0,0
"511",1926,5,26,70,30,0,0
"512",1926,5,27,75,37,0,0
"513",1926,5,28,76,42,0,0
"514",1926,5,29,77,39,0,0
"515",1926,5,30,75,43,0,0
"516",1926,5,31,75,30,0,0
"517",1926,6,1,82,37,0,0
"518",1926,6,2,79,42,0,0
"519",1926,6,3,81,42,0,0
"520",1926,6,4,89,40,0,0
"521",1926,6,5,89,49,0,0
"522",1926,6,6,90,47.5,0,1
"523",1926,6,7,91,46,0,0
"524",1926,6,8,89,45,0,0
"525",1926,6,9,89,48,0,0
"526",1926,6,10,88,44,0,0
"527",1926,6,11,82,45,0,0
"528",1926,6,12,80,46,0,0
"529",1926,6,13,80,45,0,0
"530",1926,6,14,78,40,0,0
"531",1926,6,15,68,26,0,0
"532",1926,6,16,69,34,0.13,0
"533",1926,6,17,76,30,0,0
"534",1926,6,18,80,45,0,0
"535",1926,6,19,69,38,0,0
"536",1926,6,20,60,22,0,0
"537",1926,6,21,76,24,0,0
"538",1926,6,22,79,30,0,0
"539",1926,6,23,89,45,0,0
"540",1926,6,24,90,43,0,0
"541",1926,6,25,88,45,0,0
"542",1926,6,26,97,46,0,0
"543",1926,6,27,100,44,0,0
"544",1926,6,28,93,48,0,0
"545",1926,6,29,94,50,0,0
"546",1926,6,30,88,54,0,0
"547",1926,7,1,80,41,0.16,0
"548",1926,7,2,82,40,0,0
"549",1926,7,3,91,47,0,0
"550",1926,7,4,88,45.6666666666667,0,1
"551",1926,7,5,85,44.3333333333333,0,1
"552",1926,7,6,82,43,0,0
"553",1926,7,7,80,43,0,0
"554",1926,7,8,75,45,0,0
"555",1926,7,9,80,47,0,0
"556",1926,7,10,80,38,0,0
"557",1926,7,11,82,40,0,0
"558",1926,7,12,80,44,0,0
"559",1926,7,13,82,50,0,0
"560",1926,7,14,88,43,0,0
"561",1926,7,15,90,49,0,0
"562",1926,7,16,83,45,0,0
"563",1926,7,17,94,50,0,0
"564",1926,7,18,84,60,0,0
"565",1926,7,19,84,50,0,0
"566",1926,7,20,85,41,0,0
"567",1926,7,21,82,38,0,0
"568",1926,7,22,84,50,0,0
"569",1926,7,23,84,40,0,0
"570",1926,7,24,92,42,0,0
"571",1926,7,25,92,46,0,0
"572",1926,7,26,95,45,0,0
"573",1926,7,27,93,50,0,0
"574",1926,7,28,89,47,0,0
"575",1926,7,29,89,40,0,0
"576",1926,7,30,93,43,0,0
"577",1926,7,31,96,51,0,0
"578",1926,8,1,89,47,0,0
"579",1926,8,2,90,47,0,0
"580",1926,8,3,84,43,0,0
"581",1926,8,4,94,47,0,0
"582",1926,8,5,90,46,0,0
"583",1926,8,6,80,50,0,0
"584",1926,8,7,75,45,0,0
"585",1926,8,8,85,45,0,0
"586",1926,8,9,80,40,0,0
"587",1926,8,10,75,40,0,0
"588",1926,8,11,80,35,0.6,0
"589",1926,8,12,75,42,0.04,0
"590",1926,8,13,80,36,0,0
"591",1926,8,14,85,45,0,0
"592",1926,8,15,80,40,0,0
"593",1926,8,16,85,40,0,0
"594",1926,8,17,80,47,0,0
"595",1926,8,18,70,41,0.05,0
"596",1926,8,19,70,30,0.05,0
"597",1926,8,20,81,31,0,0
"598",1926,8,21,82,40,0,0
"599",1926,8,22,87,40,0,0
"600",1926,8,23,92,44,0,0
"601",1926,8,24,93,45,0,0
"602",1926,8,25,96,45,0,0
"603",1926,8,26,93,49,0,0
"604",1926,8,27,80,32,0,0
"605",1926,8,28,79.0909090909091,30,0,1
"606",1926,8,29,78.1818181818182,30,0,1
"607",1926,8,30,77.2727272727273,30,0,1
"608",1926,8,31,76.3636363636364,30,0,1
"609",1926,9,1,75.4545454545455,30,0,1
"610",1926,9,2,74.5454545454545,30,0,1
"611",1926,9,3,73.6363636363636,30,0,1
"612",1926,9,4,72.7272727272727,30,0,1
"613",1926,9,5,71.8181818181818,30,0,1
"614",1926,9,6,70.9090909090909,30,0,1
"615",1926,9,7,70,30,0.15,0
"616",1926,9,8,69,25,0,0
"617",1926,9,9,76,32,0,0
"618",1926,9,10,80,46,0,0
"619",1926,9,11,71,32,0,0
"620",1926,9,12,72,35,0,0
"621",1926,9,13,71,25,0.01,0
"622",1926,9,14,69,27,0,0
"623",1926,9,15,75,31,0,0
"624",1926,9,16,67,35,0,0
"625",1926,9,17,64,31,0,0
"626",1926,9,18,66,24,0,0
"627",1926,9,19,75,25,0,0
"628",1926,9,20,75,33,0,0
"629",1926,9,21,69,23,0,0
"630",1926,9,22,61,20,0,0
"631",1926,9,23,67,15,0,0
"632",1926,9,24,51,2,0,0
"633",1926,9,25,62,6,0,0
"634",1926,9,26,70,22,0,0
"635",1926,9,27,65,11,0,0
"636",1926,9,28,73,26,0,0
"637",1926,9,29,67,38,0,0
"638",1926,9,30,55,31,0,0
"639",1926,10,1,57,17,0,0
"640",1926,10,2,58,27,0,0
"641",1926,10,3,61,26,0.04,0
"642",1926,10,4,60,22,0,0
"643",1926,10,5,65,20,0,0
"644",1926,10,6,69,28,0,0
"645",1926,10,7,65,34,0.05,0
"646",1926,10,8,52,22,0,0
"647",1926,10,9,65,26,0,0
"648",1926,10,10,69,37,0,0
"649",1926,10,11,68,27,0,0
"650",1926,10,12,58,27,0,0
"651",1926,10,13,68,30,0,0
"652",1926,10,14,70,32,0,0
"653",1926,10,15,68,32,0,0
"654",1926,10,16,66,43,0,0
"655",1926,10,17,75,42,0,0
"656",1926,10,18,56,35,0,0
"657",1926,10,19,61,25,0.03,0
"658",1926,10,20,65,28,0,0
"659",1926,10,21,66,31,0,0
"660",1926,10,22,63,31,0,0
"661",1926,10,23,70,32,0,0
"662",1926,10,24,66,30,0,0
"663",1926,10,25,68,32,0,0
"664",1926,10,26,68,34,0,0
"665",1926,10,27,62,40,0,0
"666",1926,10,28,49,24,0,0
"667",1926,10,29,46,21,0,0
"668",1926,10,30,52,21,0,0
"669",1926,10,31,62,15,0,0
"670",1926,11,1,56,16,0,0
"671",1926,11,2,58,24,0,0
"672",1926,11,3,56,29,0,0
"673",1926,11,4,57,22,0,0
"674",1926,11,5,58,25,0,0
"675",1926,11,6,58,30,0,0
"676",1926,11,7,47,24,0,0
"677",1926,11,8,49,15,0,0
"678",1926,11,9,51,25,0,0
"679",1926,11,10,52,25,0,0
"680",1926,11,11,52,30,0,0
"681",1926,11,12,38,27,0.12,0
"682",1926,11,13,36,25,0.08,0
"683",1926,11,14,37,15,0,0
"684",1926,11,15,36,18,0.1,0
"685",1926,11,16,39,24,0.08,0
"686",1926,11,17,32,8,0,0
"687",1926,11,18,36,21,0,0
"688",1926,11,19,34,18,0.13,0
"689",1926,11,20,45,32,0,0
"690",1926,11,21,44,30,0,0
"691",1926,11,22,43,32,0,0
"692",1926,11,23,44,32,0,0
"693",1926,11,24,44,32,0.12,0
"694",1926,11,25,45,30,0,0
"695",1926,11,26,42,28,0.11,0
"696",1926,11,27,38,28,0.18,0
"697",1926,11,28,34,26,0,0
"698",1926,11,29,40,29,0,0
"699",1926,11,30,41,32,0.38,0
"700",1926,12,1,50,32,0,0
"701",1926,12,2,49,32,0,0
"702",1926,12,3,44,35,0.27,0
"703",1926,12,4,44,31,0.12,0
"704",1926,12,5,46,28,0,0
"705",1926,12,6,39,23,0,0
"706",1926,12,7,37,26,0,0
"707",1926,12,8,35,23,0,0
"708",1926,12,9,34,13,0,0
"709",1926,12,10,30,17,0,0
"710",1926,12,11,19.6666666666667,8.33333333333333,0,1
"711",1926,12,12,9.33333333333334,-0.333333333333332,0,1
"712",1926,12,13,-1,-9,0,0
"713",1926,12,14,10,-18,0,0
"714",1926,12,15,18,-13,0,0
"715",1926,12,16,28,9,0.11,0
"716",1926,12,17,30,15,0,0
"717",1926,12,18,32,24,0.28,0
"718",1926,12,19,31,18,0,0
"719",1926,12,20,26,12,0,0
"720",1926,12,21,25,11,0.2,0
"721",1926,12,22,25.4,6.8,0,1
"722",1926,12,23,25.8,2.6,0,1
"723",1926,12,24,26.2,-1.6,0,1
"724",1926,12,25,26.6,-5.8,0,1
"725",1926,12,26,27,-10,0,0
"726",1926,12,27,29,-6,0,0
"727",1926,12,28,28,-5,0,0
"728",1926,12,29,29,-4,0,0
"729",1926,12,30,35,2,0,0
"730",1926,12,31,32,10,0,0
"731",1927,1,1,33,9,0,0
"732",1927,1,2,37,18,0,0
"733",1927,1,3,32,12,0,0
"734",1927,1,4,41,19,0,0
"735",1927,1,5,52,21,0,0
"736",1927,1,6,41,24,0,0
"737",1927,1,7,34,12,0.09,0
"738",1927,1,8,30,18,0,0
"739",1927,1,9,28,6,0,0
"740",1927,1,10,40,7,0,0
"741",1927,1,11,31,25,0,0
"742",1927,1,12,29,12,0,0
"743",1927,1,13,34,11,0,0
"744",1927,1,14,41,22,0,0
"745",1927,1,15,44,20,0,0
"746",1927,1,16,44,22,0,0
