"quad","year","obs.ARTR","obs.HECO","obs.POSE","obs.PSSP","pred.ARTR","pred.HECO","pred.POSE","pred.PSSP","pred.trt.ARTR","pred.trt.HECO","pred.trt.POSE","pred.trt.PSSP","Group","Treatment","GroupCode"
"Q1",2011,0,2.70852835593335,1.1619751703114,1.24614518126913,NA,NA,NA,NA,NA,NA,NA,NA,"E1","Control",1
"Q1",2012,0.005,2.35037079239154,1.21832880570329,1.37315651419223,0,2.10303623498118,1.22619141723837,0.815869157357434,0,2.10303623498118,1.22619141723837,0.815869157357434,"E1","Control",1
"Q1",2013,0,4.47503322598996,1.3639979273431,1.96528258273455,0.00149364672084043,2.25235232571321,1.1827834449096,1.52947054300795,0.00149364672084043,2.25235232571321,1.1827834449096,1.52947054300795,"E1","Control",1
"Q1",2014,0.27774940915213,3.12777773558283,0.594623384771915,1.26130998664409,0,4.67211732348564,0.594260521925446,1.62204751766305,0,4.67211732348564,0.594260521925446,1.62204751766305,"E1","Control",1
"Q1",2015,0.27048965303501,2.24129983266294,0.76395192913724,1.21038418171222,0.384087399234874,1.5489473854129,0.200794636894205,0.666940190499828,0.384087399234874,1.5489473854129,0.200794636894205,0.666940190499828,"E1","Control",1
"Q1",2016,0.0025,3.5627136624929,0.6992200493154,1.0299079136793,0.20410562392569,2.11606065632464,0.478008309005763,0.875015638062563,0.20410562392569,2.11606065632464,0.478008309005763,0.875015638062563,"E1","Control",1
"Q19",2011,11.1328748331145,4.57145292099074,0.87983487959423,2.28372466228657,NA,NA,NA,NA,NA,NA,NA,NA,"P7E1","Control",6
"Q19",2012,8.87630751005706,3.61057220894088,1.96792330395668,1.26582244191964,12.041507304763,3.00409409821181,1.35129057846935,1.68265636391249,12.041507304763,3.00409409821181,1.35129057846935,1.68265636391249,"P7E1","Control",6
"Q19",2013,11.6197628874794,2.66811638657816,1.87609084955345,1.41524875949835,9.99529303922343,3.18190747256723,2.12132359522203,1.49021043604085,9.99529303922343,3.18190747256723,2.12132359522203,1.49021043604085,"P7E1","Control",6
"Q19",2014,13.2861158082711,4.06476963023456,2.77818033060744,3.11517764623825,13.272598114862,2.75506062663336,1.1661374634594,1.31045492440352,13.272598114862,2.75506062663336,1.1661374634594,1.31045492440352,"P7E1","Control",6
"Q19",2015,14.6738634142187,2.48770593271454,1.55730329676258,1.18504699764101,17.1004560005348,1.84645539613498,0.882898288379836,1.3676106428436,17.1004560005348,1.84645539613498,0.882898288379836,1.3676106428436,"P7E1","Control",6
"Q19",2016,21.9962885189458,3.2139803420734,1.6826398726694,1.6486958709885,18.7292811190081,2.29906321387438,0.938110486881589,0.892036177600109,18.7292811190081,2.29906321387438,0.938110486881589,0.892036177600109,"P7E1","Control",6
"Q2",2011,44.8649206033973,0,2.20840650529093,0.413006980445855,NA,NA,NA,NA,NA,NA,NA,NA,"E1","Control",1
"Q2",2012,45.3606029189328,0,4.27918885767035,0.533370688924745,36.2455504810469,0,2.22238368496748,0.386085203089959,36.2455504810469,0,2.22238368496748,0.386085203089959,"E1","Control",1
"Q2",2013,36.0664993779588,0,4.62517697305111,1.41944044733386,39.2022865321673,0,3.67534857720589,0.619769178805774,39.2022865321673,0,3.67534857720589,0.619769178805774,"E1","Control",1
"Q2",2014,35.3406744598887,0,2.60597263245204,1.53761985425987,31.051394928211,0,2.07992422220403,1.20237816944396,31.051394928211,0,2.07992422220403,1.20237816944396,"E1","Control",1
"Q2",2015,42.6610619343245,0,1.12555730342295,0.31320871977329,29.9753986298936,0,0.584846468021625,0.760598231414986,29.9753986298936,0,0.584846468021625,0.760598231414986,"E1","Control",1
"Q2",2016,48.4979321990147,0,0.7055273557813,0.5015817360716,51.7689410134675,0,0.580967414340147,0.288401593257776,51.7689410134675,0,0.580967414340147,0.288401593257776,"E1","Control",1
"Q20",2011,20.4954093749819,1.47434813381886,1.78573293678212,0.781830760899475,NA,NA,NA,NA,NA,NA,NA,NA,"P7E1","Control",6
"Q20",2012,22.6925925996165,1.21464517048142,2.64371681762893,0.73564715793218,18.6361625754871,1.2883184139503,2.33738207859351,0.675701146701934,18.6361625754871,1.2883184139503,2.33738207859351,0.675701146701934,"P7E1","Control",6
"Q20",2013,22.8549042823288,1.57155504568843,3.80812695719937,1.10197795790848,23.9107100733733,1.130257116442,2.76172940236594,0.896265237145563,23.9107100733733,1.130257116442,2.76172940236594,0.896265237145563,"P7E1","Control",6
"Q20",2014,25.2582540791018,0.990377349970864,4.41994047232071,0.95880445814615,23.7467083907471,1.78293632856974,2.11246324644608,0.962668267349427,23.7467083907471,1.78293632856974,2.11246324644608,0.962668267349427,"P7E1","Control",6
"Q20",2015,25.8459245696226,0.45523464089424,1.51943014503444,0.28834378936096,23.5413578488311,0.582347490993486,1.36160868347047,0.560448559383296,23.5413578488311,0.582347490993486,1.36160868347047,0.560448559383296,"P7E1","Control",6
"Q20",2016,32.0892436428401,1.1113917051826,2.2726570337068,0.4386601386227,35.6127730063581,0.682032917366744,0.984809477190625,0.316461140656324,35.6127730063581,0.682032917366744,0.984809477190625,0.316461140656324,"P7E1","Control",6
"Q21",2011,0,0.0615882674069601,1.02948594959998,0.0125,NA,NA,NA,NA,NA,NA,NA,NA,"P7E1","Control",6
"Q21",2012,0,0.225926671589525,1.79970638322704,0.0381246383271149,0,0.10878329154478,1.22535621749674,0.00627970039264924,0,0.10878329154478,1.22535621749674,0.00627970039264924,"P7E1","Control",6
