"quad","year","obs.ARTR","obs.HECO","obs.POSE","obs.PSSP","pred.ARTR","pred.HECO","pred.POSE","pred.PSSP","pred.trt.ARTR","pred.trt.HECO","pred.trt.POSE","pred.trt.PSSP","Group","Treatment","GroupCode"
"Q1",2011,0,2.69273319505584,0.80033765512487,1.2438590599162,NA,NA,NA,NA,NA,NA,NA,NA,"E1","Control",1
"Q1",2012,0.005,2.26393905355645,1.21832880570329,1.37315651419223,0,2.62797005461115,1.37108539873759,1.09859808031349,0,2.62797005461115,1.37108539873759,1.09859808031349,"E1","Control",1
"Q1",2013,0,4.47503322598996,1.3639979273431,1.96278258273455,0.0093036627776202,2.85169841847955,1.89914469893544,1.98058057671607,0.0093036627776202,2.85169841847955,1.89914469893544,1.98058057671607,"E1","Control",1
"Q1",2014,0.27774940915213,3.12777773558283,0.594623384771915,1.26130998664409,0,5.82942955392121,0.961054998024333,2.19748714780422,0,5.82942955392121,0.961054998024333,2.19748714780422,"E1","Control",1
"Q1",2015,0.27048965303501,2.24129983266294,0.76395192913724,1.21038418171222,0.418015911641105,1.9284906681052,0.321134784015881,0.924933250652432,0.418015911641105,1.9284906681052,0.321134784015881,0.924933250652432,"E1","Control",1
"Q1",2016,0.0025,3.5627136624929,0.6992200493154,1.0299079136793,0.228756585149511,2.62173498835115,0.727712425002752,1.15783156135052,0.228756585149511,2.62173498835115,0.727712425002752,1.15783156135052,"E1","Control",1
"Q19",2011,11.1328748331145,4.57145292099074,0.87983487959423,2.28122466228657,NA,NA,NA,NA,NA,NA,NA,NA,"P7E1","Control",6
"Q19",2012,8.87630751005706,3.61057220894088,1.96792330395668,1.26582244191964,14.8877221598822,3.71595679487458,2.24440873495967,2.18627929788125,14.8877221598822,3.71595679487458,2.24440873495967,2.18627929788125,"P7E1","Control",6
"Q19",2013,11.6197628874794,2.66811638657816,1.87609084955345,1.41524875949835,14.0724508210282,4.29389844454612,3.42111754664894,1.94817955426036,14.0724508210282,4.29389844454612,3.42111754664894,1.94817955426036,"P7E1","Control",6
"Q19",2014,13.2861158082711,4.06476963023456,2.77818033060744,3.11517764623825,16.27365230772,3.70363452826435,1.97913816934981,1.85953597784536,16.27365230772,3.70363452826435,1.97913816934981,1.85953597784536,"P7E1","Control",6
"Q19",2015,14.6738634142187,2.48371127262263,1.55730329676258,1.18504699764101,17.624032564416,2.34951974628842,1.44680345466015,1.87110558470125,17.624032564416,2.34951974628842,1.44680345466015,1.87110558470125,"P7E1","Control",6
"Q19",2016,21.9962885189458,3.2139803420734,1.6826398726694,1.6486958709885,19.637552119432,2.92389916193178,1.43744236903938,1.25399276104305,19.637552119432,2.92389916193178,1.43744236903938,1.25399276104305,"P7E1","Control",6
"Q2",2011,44.8649206033973,0,1.98391896325216,0.410506980445855,NA,NA,NA,NA,NA,NA,NA,NA,"E1","Control",1
"Q2",2012,45.3606029189328,0,4.14181963641317,0.531810023924745,43.2659187789488,0,3.17272431916146,0.513390127369042,43.2659187789488,0,3.17272431916146,0.513390127369042,"E1","Control",1
"Q2",2013,36.0664993779588,0,4.39045242194401,1.41073893685379,42.7758188273816,0,5.79305707605633,0.803011247214143,42.7758188273816,0,5.79305707605633,0.803011247214143,"E1","Control",1
"Q2",2014,35.3406744598887,0,2.60597263245204,1.53761985425987,36.1330855703379,0,3.27833186418883,1.5751622525435,36.1330855703379,0,3.27833186418883,1.5751622525435,"E1","Control",1
"Q2",2015,42.6610619343245,0,1.09942742385413,0.283750309493985,33.5404142090411,0,1.00094698837223,1.02890575071413,33.5404142090411,0,1.00094698837223,1.02890575071413,"E1","Control",1
"Q2",2016,48.4979321990147,0,0.7055273557813,0.5015817360716,57.2726809724355,0,0.902990957070059,0.362225924178659,57.2726809724355,0,0.902990957070059,0.362225924178659,"E1","Control",1
"Q20",2011,20.4954093749819,1.47434813381886,1.78073293678212,0.744717376125505,NA,NA,NA,NA,NA,NA,NA,NA,"P7E1","Control",6
"Q20",2012,22.6925925996165,1.20754440048142,2.64371681762893,0.73564715793218,22.014807496577,1.56342967718895,3.63737133985038,0.847932929954699,22.014807496577,1.56342967718895,3.63737133985038,0.847932929954699,"P7E1","Control",6
"Q20",2013,22.8549042823288,1.52991099669368,3.80562695719938,1.09973294290848,27.0911676753532,1.54608588197723,4.3473778787795,1.16615522769217,27.0911676753532,1.54608588197723,4.3473778787795,1.16615522769217,"P7E1","Control",6
"Q20",2014,25.2582540791018,0.990377349970864,4.41994047232071,0.95630445814615,27.5745727856197,2.3138668538524,3.42048066484899,1.33574428712162,27.5745727856197,2.3138668538524,3.42048066484899,1.33574428712162,"P7E1","Control",6
"Q20",2015,25.8459245696226,0.45523464089424,1.51943014503444,0.28834378936096,26.5336278073219,0.763679324868533,2.16460667791785,0.756758734282783,26.5336278073219,0.763679324868533,2.16460667791785,0.756758734282783,"P7E1","Control",6
"Q20",2016,32.0892436428401,1.1113917051826,2.2726570337068,0.4386601386227,38.5535383140649,0.921598888309658,1.4993767875991,0.450661802427338,38.5535383140649,0.921598888309658,1.4993767875991,0.450661802427338,"P7E1","Control",6
"Q21",2011,0,0.0615882674069601,1.00401575642837,0.0125,NA,NA,NA,NA,NA,NA,NA,NA,"P7E1","Control",6
"Q21",2012,0,0.225926671589525,1.78210555137544,0.0381246383271149,0,0.130399679088428,1.87428896843276,0.0101878558349673,0,0.130399679088428,1.87428896843276,0.0101878558349673,"P7E1","Control",6
"Q21",2013,0.00249999999999986,0.15967249174053,2.01585318698824,0.0641162353162001,0,0.297268565624952,2.76076623355686,0.0694212957632681,0,0.297268565624952,2.76076623355686,0.0694212957632681,"P7E1","Control",6
"Q21",2014,0,0.196380190153345,1.10999834335595,0,0.00482210636171423,0.288639935841084,1.64878368199001,0.106389873519799,0.00482210636171423,0.288639935841084,1.64878368199001,0.106389873519799,"P7E1","Control",6
"Q21",2015,0.490939867034461,0.55496034362998,0.844552428670445,0,0,0.169942298817888,0.707638348420622,0,0,0.169942298817888,0.707638348420622,0,"P7E1","Control",6
"Q21",2016,2.0741573905885,0.3467864328879,0.6230203169512,0,0.554521821924678,0.707954497589428,0.601297766457784,0,0.554521821924678,0.707954497589428,0.601297766457784,0,"P7E1","Control",6
"Q22",2011,0,2.59751082490505,3.04816250956604,2.85037551410925,NA,NA,NA,NA,NA,NA,NA,NA,"P7E1","Control",6
"Q22",2012,0,2.6745946701031,3.38283706861596,1.91656264598772,0,2.55715600909272,5.33247331787705,2.94540142912033,0,2.55715600909272,5.33247331787705,2.94540142912033,"P7E1","Control",6
"Q22",2013,0,2.62196313626916,3.94077559412774,2.52875926334998,0,3.38798552983692,5.1750526979328,2.91520793989717,0,3.38798552983692,5.1750526979328,2.91520793989717,"P7E1","Control",6
"Q22",2014,0,5.5590581307339,3.69837954409053,3.93699931506478,0,3.82597617505661,3.32776278666192,3.06738990488138,0,3.82597617505661,3.32776278666192,3.06738990488138,"P7E1","Control",6
"Q22",2015,0,1.83270994194369,0.923235006675135,1.05361410234126,0,3.10523996282076,1.7002970624795,2.60408421444644,0,3.10523996282076,1.7002970624795,2.60408421444644,"P7E1","Control",6
"Q22",2016,0.0075,3.0429486422202,1.0120122671418,2.1705588060143,0,2.47040999535433,1.05286556050764,1.22450928262426,0,2.47040999535433,1.05286556050764,1.22450928262426,"P7E1","Control",6
