"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"intcpt.yr[1,1]",-0.16165760075,1.3380297838462,-2.933075,-0.9966,-0.09837,0.710175,2.355,1.00116337187861,2000
"intcpt.yr[1,2]",1.3093008815,1.00080244628958,-0.7588125,0.669875,1.3315,1.9625,3.24905,1.00219024635723,890
"intcpt.yr[1,3]",2.284117295,0.66723589257481,1.032825,1.8455,2.28,2.719,3.5541,1.00172439102719,2000
"intcpt.yr[1,4]",3.184471,0.694935825137494,1.91387484053682,2.696,3.177,3.62,4.58507497608718,1.00076922486128,2000
"intcpt.yr[2,1]",-2.4341751335,1.50515533506444,-5.68615,-3.32375,-2.344,-1.4135,0.110059999999995,1.00098685588914,2000
"intcpt.yr[2,2]",1.448415035,0.810713012942296,-0.122165,0.891,1.465,1.99225,3.043075,1.02162040849891,80
"intcpt.yr[2,3]",2.3353654,0.552239283414276,1.32794996325423,1.969,2.302,2.67724996498708,3.45417482733297,1.00100608090496,2000
"intcpt.yr[2,4]",2.3599376,0.507438390010125,1.39892492148492,2.016,2.328,2.68524996509138,3.39102499640663,1.00050491689108,2000
"intcpt.yr[3,1]",-0.99387262995,0.616722400556853,-2.2582,-1.40225,-0.97235,-0.5912,0.2278025,1.00161936412355,1300
"intcpt.yr[3,2]",1.48242599,0.557008646312563,0.357385,1.12875,1.476,1.85725,2.57905,1.01334441965105,120
"intcpt.yr[3,3]",2.641784,0.377843663783225,1.9429249434899,2.385,2.62449995237188,2.89324996760073,3.37724963980476,1.00142486816654,1600
"intcpt.yr[3,4]",2.2285995,0.349205864022189,1.51682460513653,2.00574995325161,2.23449994405907,2.46624996199196,2.90202499580126,1.00168010119829,2000
"intcpt.yr[4,1]",-2.34892155,0.807078452434948,-4.037225,-2.8545,-2.3115,-1.79475,-0.8816525,1.0031382930381,870
"intcpt.yr[4,2]",0.37122186735,0.670848700966401,-0.9772925,-0.0864275,0.39385,0.8361,1.672075,1.00935921109223,170
"intcpt.yr[4,3]",1.524490545,0.422046455915849,0.692844914690301,1.23174992386817,1.53,1.822,2.30922457355494,1.00074880642448,2000
