"quad","year","SP_ID","x","y","GenID"
"Q23",2007,8,80.4770684302,44.6504069996,4
"Q23",2007,9,71.6413075209,32.8585734885,5
"Q23",2007,10,59.8400028167,16.051508686,6
"Q23",2007,13,46.6959086051,32.8370316766,7
"Q23",2007,15,42.1423136942,25.7962673452,8
"Q23",2007,17,49.2572801593,12.352544057,9
"Q23",2007,18,31.970078524,10.1509040784,10
"Q23",2007,20,82.493048823,12.5237990982,11
"Q23",2007,28,4.5383044785,13.8875372088,12
"Q23",2007,29,3.3753852246,2.4081492137,13
"Q23",2007,36,8.5056050929,2.5934216526,14
"Q23",2007,37,90.4602947377,2.5934216526,15
"Q23",2007,38,88.8442872015,3.3629497499,16
"Q23",2007,39,92.8458308162,3.5168551025,17
"Q23",2007,43,7.2743604931,6.9027759723,18
"Q23",2007,44,77.1474675075,7.9031620984,19
"Q23",2007,46,93.1536419662,9.5961232007,20
"Q23",2007,47,63.9115925086,11.1351785056,21
"Q23",2007,48,65.2967424609,11.6738472394,22
"Q23",2007,49,59.0635685652,12.0586115105,23
"Q23",2007,50,2.4263369947,12.3664222156,24
"Q23",2007,51,10.5063769003,12.5203275681,25
"Q23",2007,53,93.7692638212,13.5976668154,26
"Q23",2007,54,88.7673340804,13.6746190467,27
"Q23",2007,57,2.1185262896,16.4449185065,28
"Q23",2007,59,3.5036753521,17.7531157826,29
"Q23",2007,60,3.2728173234,19.5230291162,30
"Q23",2007,61,78.6865223674,19.5999817925,31
"Q23",2007,62,19.8176605158,20.9081786236,32
"Q23",2007,63,1.4259513135,20.9851317448,33
"Q23",2007,65,35.9007880957,26.2179190695,34
"Q23",2007,66,83.0728302532,26.6026833406,35
"Q23",2007,67,78.8404286098,27.2183051956,36
"Q23",2007,68,71.1451520855,28.0647855243,37
"Q23",2007,69,23.8192041305,28.1417386455,38
"Q23",2007,70,66.297128587,28.2186908768,39
"Q23",2007,71,80.9951053247,28.2186908768,40
"Q23",2007,73,12.5071487076,30.142509563,41
"Q23",2007,74,7.8130301168,30.6042269553,42
"Q23",2007,75,5.4274949281,31.7585184339,43
"Q23",2007,76,23.2805349518,32.8358567914,44
"Q23",2007,79,24.2039684017,36.2217785511,45
"Q23",2007,81,52.8303951144,42.7627627069,46
"Q23",2007,82,73.3767823665,43.5322903593,47
"Q23",2007,83,50.3679068046,44.994392543,48
"Q23",2007,84,69.9908606068,45.9947786691,49
"Q23",2007,85,47.1358908424,50.5349919075,50
"Q23",2007,86,60.8334823438,52.4588105936,51
"Q23",2007,87,90.1524840327,53.4591962748,52
"Q23",2007,88,59.2174748076,55.6138738796,53
"Q23",2007,89,95.2313660048,55.8447323533,54
"Q23",2007,90,76.5318456525,58.3841728944,55
"Q23",2007,92,91.845445135,62.7704807802,56
"Q23",2007,93,89.306003704,63.616960664,57
"Q23",2007,94,51.9839143408,66.0024962976,58
"Q23",2007,95,42.287866899,69.6962292072,59
"Q23",2007,98,48.9827572972,72.6973862508,60
"Q23",2007,99,29.7445668763,74.7751111793,61
"Q23",2007,100,26.8973142953,76.3141660393,62
"Q23",2007,103,22.2031965943,84.8559228923,63
"Q23",2007,104,80.6103419434,85.8563090184,64
"Q23",2007,105,98.8481457933,89.0113714145,65
"Q23",2007,106,79.7638611698,89.7808995119,66
"Q23",2007,108,69.1443802781,91.2430021405,67
"Q23",2007,110,52.2147732594,92.1664347005,68
"Q23",2007,111,71.9916324142,93.0129154741,69
"Q23",2007,112,69.6060972255,93.2437739478,70
"Q23",2007,113,67.6053254182,94.859781484,71
"Q23",2007,117,66.4510339396,97.1683644413,72
"Q24",2007,3,26.757167001,71.8164624909,1
"Q24",2007,6,35.3866181574,91.3901054394,2
"Q24",2007,23,43.6368247528,41.1384798965,3
"Q24",2007,32,11.0758609931,43.9916456176,4
"Q24",2007,33,15.8626534064,44.2819402836,5
"Q24",2007,50,98.4250721568,32.4991596061,6
"Q24",2007,53,46.0932706558,46.0418940575,7
"Q24",2007,54,61.9767246476,54.9867870792,8
