"species","quad","year","genetID","allcov.0.2","allcov.2.4","allcov.4.6","allcov.6.8","allcov.8.10","allcov.10.12","allcov.12.14","allcov.14.16","allcov.16.18","allcov.18.20","allcov.20.25","allcov.25.30","allcov.30.35","allcov.35.40","allcov.40.45","allcov.45.50","allcov.50.60","allcov.60.70","allcov.70.80","allcov.80.90","allcov.90.100","allcov.100.110","allcov.110.120","allcov.120.130","allcov.130.140","allcov.140.150","allpts.0.2","allpts.2.4","allpts.4.6","allpts.6.8","allpts.8.10","allpts.10.12","allpts.12.14","allpts.14.16","allpts.16.18","allpts.18.20","allpts.20.25","allpts.25.30","allpts.30.35","allpts.35.40","allpts.40.45","allpts.45.50","allpts.50.60","allpts.60.70","allpts.70.80","allpts.80.90","allpts.90.100","allpts.100.110","allpts.110.120","allpts.120.130","allpts.130.140","allpts.140.150","propQ.0.2","propQ.2.4","propQ.4.6","propQ.6.8","propQ.8.10","propQ.10.12","propQ.12.14","propQ.14.16","propQ.16.18","propQ.18.20","propQ.20.25","propQ.25.30","propQ.30.35","propQ.35.40","propQ.40.45","propQ.45.50","propQ.50.60","propQ.60.70","propQ.70.80","propQ.80.90","propQ.90.100","propQ.100.110","propQ.110.120","propQ.120.130","propQ.130.140","propQ.140.150"
"POSE","Q1",2007,1,0,0,0,0,0.1244041380002,7.53698903131879,21.049973531693,33.3533652233557,45.2368452324052,59.5427548470224,158.852431812081,158.432141514005,181.978210187179,201.146396656665,238.283751524943,236.565752246888,344.96352573467,67.3945447295212,34.3446745000379,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,3,3,2,5,5,11,5,2,0,1,0,0,0,0,0,1,1,1,1,1,1,0.999483914082063,0.97150143785885,0.936427811832627,0.903047684173711,0.834202279266247,0.783542547642837,0.745570469862116,0.716290518480107,0.693112259500516,0.660661690846738,0.580455862312454,0.501323850637737,0.438511994449219,0.38329733305449,0.31824695320045,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"POSE","Q1",2007,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9284843685711,163.764276506533,403.300614799599,492.046386708761,420.538747193983,235.241743108411,58.9855082239253,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,6,7,3,5,5,5,3,3,1,0,0,1,0.815223829310585,0.607521101492446,0.508840021867525,0.452153079534302,0.41557866234672,0.390098732047356,0.371359334266428,0.357011629132194,0.345680374889616,0.325621814567175,0.312496813599923,0.303245687181518,0.29637641464967,0.291074651134273,0.286859449394214,0.280581091302406,0.276129236366237,0.272808220622339,0.270235811557813,0.264868644890811,0.241185474349667,0.21398513849656,0.187313931928823,0.162429720455476,0.141494334262925
"POSE","Q1",2007,3,0,0,0,0,0,0,0,0,0,0,0,0,0.517401579334622,58.8654168076056,78.4934144722339,109.802088762657,421.253850028983,499.144474487528,379.392898794,209.656875819051,31.6793401583893,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,2,3,3,4,2,3,6,5,6,2,2,0,0,0,0,0,1,1,1,1,1,1,1,1,0.995410744000097,0.970817004660516,0.902257997586932,0.845586920844311,0.791743197252363,0.723566511217197,0.66762272043307,0.622579529311334,0.555362808863368,0.503414748742106,0.444026388603123,0.380972634180241,0.31690940856909,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"POSE","Q1",2008,1,0,0,0,0,0,0,0,0,1.4157130012096,13.6248822769048,14.4680621269639,31.7630534422819,32.4250731932145,141.525606489652,158.021865032785,143.897336471636,427.290405793066,462.924610919835,575.528658293067,480.529684384051,341.609914548334,234.812337806443,16.1751776298934,0,0,0,0,1,0,1,3,0,2,1,1,1,1,2,0,5,5,0,4,8,7,1,2,0,2,0,0,0,1,1,1,1,1,1,1,0.989022450240873,0.957858905855507,0.925344200860661,0.818069487397048,0.71497876320891,0.64143877373289,0.587129961343628,0.545614087552006,0.512951416384779,0.465011441297388,0.431631625441468,0.406254049105163,0.362455403093661,0.309533637716213,0.262100199710676,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"POSE","Q1",2008,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3.184117714749,0,5.48934248048721,342.257227783973,634.865025925599,757.340691538291,733.36041153788,523.141728248835,76.3738361795254,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,2,2,2,4,6,3,6,5,9,2,0,0,0,0,1,1,0.991864259522266,0.90915876845063,0.839876027487753,0.788589954211563,0.75005438562313,0.720300356641763,0.696728793603492,0.677634965776544,0.642813598516211,0.619328444560747,0.589733423003688,0.553614308390479,0.522607377358598,0.496604452233023,0.4562583341175,0.424960758686216,0.38463255091116,0.347878034923891,0.30835923444673,0.261929275245041,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"POSE","Q1",2008,11,12.5643036193192,34.7162901094993,48.8528240927734,50.7855574364557,40.1940126371875,45.2186128446301,65.1061783048642,75.9756944763975,87.0958582170405,88.9384021308647,238.76291454128,220.258080534847,271.916486281696,341.201731292535,335.653899657193,249.784125827339,355.543096257974,365.760879761196,109.469727698674,12.4450147284979,25.7686909590752,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,6,2,1,0,2,3,5,6,8,7,1,0,0,0,0,0,1,1,1,0.93444227032335,0.864047645547356,0.810310391596399,0.769441097993808,0.737686784426327,0.712435880239553,0.691931532610587,0.654444903401308,0.601356814033453,0.553942145512939,0.516496645151754,0.486722459798545,0.462659529690775,0.426382092806534,0.400470232452718,0.374425605692517,0.34191898438023,0.303935503403984,0.260317531417712,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"POSE","Q1",2008,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947517924770284,66.0913413668128,399.005538966197,784.72380178618,803.63249672424,589.343179204075,255.422676561177,176.845828875886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,4,8,4,9,6,5,4,1,0,0,1,1,0.926507741845254,0.836938723694406,0.729176601573983,0.643526133643185,0.582416625912093,0.537115740791127,0.502364239839226,0.474938291056319,0.426562033335952,0.395118033141161,0.373097562775746,0.356838315975991,0.344351194485494,0.334464870041177,0.319813089195115,0.309481461759394,0.301808145639813,0.2958852933517,0.279255473898064,0.248594029522793,0.217461457967592,0.188255736592274,0.162429720455475,0.141494334262925
"POSE","Q1",2008,3,0,0,0,0,0,0,0,0,2.00889634898262,14.5358427907266,45.6231037692573,52.806523731178,150.319421985552,182.635440138412,156.554390712635,183.50956372354,481.057711525939,554.985862457144,612.037165541208,346.712647542111,260.457012782803,32.7687983598503,0,0,0,0,0,0,3,0,1,0,2,0,4,1,2,3,3,3,1,3,6,7,4,2,0,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.988178721732079,0.898280525087767,0.801890577060223,0.724756865692108,0.665481247723779,0.618780570712278,0.550294395785067,0.502751443639466,0.453961055827914,0.380345820446971,0.316612501504869,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"POSE","Q1",2008,4,12.5643036193192,37.6929108997019,53.9595705822295,57.6734846782209,53.3263556147504,61.0542246693909,66.2748525960667,78.1500397072288,88.9427450345415,98.8650588210739,229.705820777202,213.817762438367,300.587769949095,405.483127440489,373.39808906999,227.346631256364,388.577785628285,279.744831502762,19.644208450437,3.18411771474894,26.0186909590752,0,0,0,0,0,0,1,0,1,1,0,0,2,2,1,3,2,1,2,0,4,6,7,7,6,1,0,0,0,0,0,1,1,0.921630289286004,0.832409021448255,0.77150094249414,0.728698126277693,0.697271776106111,0.673312588795043,0.654479569368221,0.639303584703813,0.61177483123571,0.593295381133388,0.56322999244857,0.530297093030233,0.50207278321394,0.478356665521903,0.441441089834843,0.413789885904418,0.376877358890736,0.341992605189232,0.306181437974476,0.261266867569766,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"POSE","Q1",2008,5,8.77409677313617,24.3037878120378,42.9008547048295,55.7051329786682,45.8419059565351,57.4385301324681,73.1206425186517,84.0099337096299,83.4584581332174,85.9297508325916,235.612554304132,259.455752610485,272.738727934552,311.707230152404,317.156409071281,226.516717907366,337.515574682392,370.427693727578,143.216544937345,21.2683522799712,18.9137302500676,0,0,0,0,0,0,2,0,1,1,1,0,1,0,0,7,2,0,1,1,4,3,10,9,3,1,0,0,0,0,0,1,1,1,1,0.958086311302876,0.901125223193529,0.853012137758568,0.813879631888109,0.781967963162547,0.755646022201481,0.700345668048109,0.628802223769166,0.573881844036095,0.531906794898873,0.499125709201422,0.472943415196719,0.433915166265393,0.406327330347857,0.381305317571132,0.348084656834699,0.305217347855503,0.260727826918049,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"POSE","Q1",2008,6,0,2.37270150647542,18.7223103277337,15.5394482730023,13.5771945619838,14.650558713487,16.1528417238529,17.7303815983115,20.2877204799084,43.6773533856618,180.355852225671,229.090173905466,263.349214106066,291.533636204472,288.136505605034,184.209596138317,356.792094516383,324.526108722049,343.093993500884,316.605964751261,135.608731163318,0,0,0,0,0,1,0,0,0,1,0,2,0,1,2,1,2,3,2,2,2,5,11,8,2,2,0,0,0,0,0,1,1,0.950883666135863,0.860566678088431,0.795987361810441,0.749937966763648,0.715895136679893,0.689841005945121,0.669311851709681,0.652741980097484,0.609794786577781,0.55621476063961,0.514150501621106,0.481454193702158,0.455605726322001,0.434766790668866,0.403385542232666,0.380971727791382,0.361609892348606,0.33306637363766,0.299797663444964,0.258659580668429,0.22093702271826,0.188380030821795,0.162429720455475,0.141494334262925
"POSE","Q1",2008,7,12.5643036193191,37.6929108997019,62.8215181493556,87.9501254537161,110.678446541856,118.773678008882,125.347721555401,133.704205543654,141.299080767548,162.165921105354,470.639539911008,396.874725019652,222.95181314106,132.384163505933,150.226275441886,176.032191588565,326.408007996794,181.729062200578,25.7686909590752,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,3,4,5,3,4,3,4,9,7,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.983182078798157,0.938218267115324,0.867269124300155,0.795378373721137,0.734853870169538,0.644951491301098,0.572248116313866,0.47980645170487,0.390491893827834,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"POSE","Q1",2008,8,12.5643036193191,37.692910899702,62.8215181493556,87.9501254537161,113.07873265641,134.234672948937,131.620051621633,126.441148385235,148.592486749738,174.061290825368,467.535300480272,421.543460973608,221.646080246051,135.264130483736,167.570175741721,183.731095096354,298.156146855756,125.574763673351,25.9339865490751,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,1,4,5,4,5,2,5,8,7,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.983182078798157,0.939079064174591,0.883838419434443,0.815160827125816,0.753221133187689,0.660419458563356,0.577228993003434,0.482574214891382,0.391388067860478,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"POSE","Q1",2008,9,0,0,0,0,2.50031836612828,8.96837580023492,11.3864042849174,14.8202268930725,17.4940123999053,21.0468978889111,113.620577727292,159.871449148288,177.578719523953,221.595386253251,210.343617472434,285.886222119256,452.792108390823,414.871840380854,278.792817881174,352.027131521638,275.647662795548,56.7686125616597,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,2,4,8,3,3,10,6,2,2,0,2,0,0,0,0,1,1,0.903880883038033,0.816327764476039,0.757730699744488,0.716833582351943,0.686905624693652,0.664132964121933,0.646253726928642,0.631857629919564,0.605766916665352,0.58826558829577,0.575721286190855,0.566293405964277,0.558949837175578,0.551690083347855,0.496981975869181,0.439436858470203,0.390941391190851,0.350928972362616,0.312716916078047,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"POSE","Q1",2009,1,6.59964633063679,16.1141918089378,22.8354349960132,26.7028669869252,29.5834946918784,29.5181594466422,27.8428170758525,30.5760493638471,40.5205183853375,55.8119045393551,173.127928065676,175.724605092793,213.925713649907,265.206715633362,305.529413758295,262.637972492323,522.098311133432,412.546514799885,388.109924423276,420.854400684917,121.756029647518,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,6,6,5,2,6,4,6,3,0,0,0,0,0,0,0,1,1,1,1,1,0.997660986605944,0.961085127672606,0.919890504073495,0.882519063122712,0.849983191783447,0.786720747643963,0.741876659884646,0.708816009866421,0.68355289616667,0.663665699615426,0.63257220435922,0.560631768197417,0.486914792822476,0.427531050951027,0.378406517495469,0.317805029606649,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"POSE","Q1",2009,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6303477361079,335.06837051,810.881992233176,786.961597883663,806.378016750094,611.014141790745,109.801185104502,65.8869609985204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,4,8,4,6,5,3,5,1,0,0,0.967434086365151,0.76348595692842,0.676097369561778,0.576543539073085,0.510416268476378,0.465632818856063,0.433646638056783,0.409766487452706,0.391300452009555,0.376614691971287,0.350419402862307,0.333155925098389,0.32093659373919,0.311838143477078,0.304803143459569,0.29920197870995,0.290847424925926,0.284915388356692,0.280486711407995,0.277054266171367,0.268847698887232,0.24331979527329,0.215036013045499,0.187659815449941,0.162429720455475,0.141494334262925
"POSE","Q1",2010,1,0,0,0,1.56408065912415,14.6888093370233,23.4706175640228,35.3770275928029,51.4726529274758,61.2272390032714,69.1094715071023,195.107154162453,231.350605638086,257.877062747706,313.659839119329,354.894872962779,335.013153621837,579.471263601019,552.1805158633,562.640057025202,592.294538880349,193.079888853298,2.63172840099924,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,2,4,2,2,4,7,6,0,0,1,0,0,0,0,0,1,1,1,1,1,0.96554297293605,0.918240695699824,0.875953025852126,0.839988097703864,0.809618535748218,0.752024646509152,0.711931632621239,0.68263023135789,0.660350490577234,0.642866552542002,0.621616011302532,0.549229039867446,0.478045000982675,0.420576688276963,0.374327527633891,0.317612624312503,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"POSE","Q1",2010,12,12.5643036193192,37.6929108997019,62.8215181493556,87.9501254537161,113.07873265641,129.928828116752,118.221980155083,103.192056496175,97.7582266138028,101.730604683145,303.790492032811,409.16393125847,463.189362370741,386.951230799216,464.0897914317,504.865546175692,725.069048315655,267.435801059093,37.6160891803402,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5,5,6,6,6,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.982470775002819,0.946202370488169,0.813811064385754,0.641357696116486,0.497441018894793,0.393039817396786,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"POSE","Q1",2010,13,12.5643036193192,37.6929108997019,62.8215181493556,87.9501254537161,113.07873265641,138.207339959666,163.335947215651,172.333615134922,175.066849750119,184.293575776203,479.261348163954,518.564066202676,545.453319926568,487.848214414649,400.281675715708,285.594184308172,438.173939808164,109.399683804689,0.25,12.4684884966482,2.4707400108864,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,2,2,1,0,3,9,6,2,1,0,0,0,0,0,1,1,1,1,1,1,1,0.979939522809085,0.946293809880377,0.913178280540731,0.843638750545004,0.791947427368025,0.753040991124785,0.722973587330401,0.698251946309258,0.659890909819611,0.582593876365602,0.503355744146289,0.440216316775754,0.383768279662141,0.318200197203196,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"POSE","Q1",2010,14,0.146380626689665,0.610066942395571,13.2678735087507,18.8485236753977,21.0249862416693,28.378610736842,29.3050227667949,32.2964147846245,57.357997560671,76.5579482879948,224.569683849546,260.724001351411,247.598250441979,253.64237017311,309.151661578036,325.245804864694,694.681415394092,487.641660867241,523.832346846317,531.605309385454,286.763255776991,3.86099380647647,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,0,1,3,9,4,6,3,0,0,1,0,0,1,1,1,1,0.960184235121739,0.86462096653741,0.770144173758131,0.697573367818131,0.641853473719344,0.59796216599581,0.520944169659391,0.471299088009543,0.436792876077608,0.411478448403893,0.392142887237215,0.376905775469737,0.354449354194951,0.338711791928368,0.327079475719854,0.318132042922121,0.289309327280729,0.253571118686217,0.219466847137843,0.188380030821795,0.162429720455475,0.141494334262925
"POSE","Q1",2010,15,0,0,1.661758125748,11.8900448065983,16.2214545823004,19.1465295905137,20.9559002777697,14.7436718618978,24.9868647745447,27.3011752437415,74.896950718877,177.442420653776,237.329330873766,271.588665772769,256.22667750815,267.328167759811,659.225747083412,709.849497886652,497.157597252731,525.736941088419,472.135046687978,141.286136917724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,1,3,3,7,4,6,3,0,1,0,0,0.824679038349356,0.668879047563123,0.560801158573744,0.483576433852657,0.435949764764042,0.404115442471699,0.381451706305643,0.36453490861335,0.351442076672174,0.34101666379136,0.322377616382688,0.310054615753446,0.301308686533023,0.294782020059578,0.289726338718347,0.285694926457782,0.27967114707124,0.275385713404773,0.272181344639094,0.269695088453067,0.264298144880594,0.240978173375698,0.213891609703908,0.187283278049394,0.162429720455475,0.141494334262925
"POSE","Q1",2010,16,0.219514702229514,4.83495175196287,18.6278296507777,30.6227190955572,47.0311781857823,82.4802437609475,86.3784795642231,85.3701451637546,92.8460936431648,99.8388220325467,277.043196354145,273.758148260626,267.7490873592,320.14668618963,337.734754029659,350.668489820297,565.339359945865,525.676297827422,503.349527926551,427.498243824716,29.8968103781217,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,2,1,3,9,8,3,0,0,1,0,0,0,1,1,1,1,1,1,0.986657119731534,0.944389517848857,0.878793213342392,0.813549923499843,0.688556045415939,0.606968813098672,0.550168135650382,0.508569329334166,0.476885181594489,0.451995077225244,0.415476468865767,0.390027997492339,0.371308235593003,0.347051931832796,0.302312618987284,0.259481994603724,0.221033332631966,0.188380030821795,0.162429720455475,0.141494334262925
