quad,year,SP_ID,x,y,GenID
Q1,2007,9,13.8721756715,45.7500940034,1
Q1,2007,21,97.0638005495,97.3022233936,2
Q1,2007,32,82.7027832083,67.2354489887,3
Q19,2007,42,11.4588447298,46.2932778133,4
Q2,2007,2,1.2744353804,63.3281551345,5
Q2,2007,3,18.6973770502,58.1149810906,6
Q2,2007,4,48.7089062848,52.2842240576,7
Q2,2007,9,28.9508120304,6.0734751971,8
Q2,2007,10,41.3722516339,1.6678151076,9
Q2,2007,11,48.6497145089,6.937548571,10
Q2,2007,12,97.4964899082,3.0049220642,11
Q2,2007,15,72.8076057663,48.3878162408,12
Q2,2007,16,90.0217964064,55.2210424031,13
Q2,2007,17,95.9128775649,97.8143713823,14
Q2,2007,28,4.1823574881,1.5163830691,15
Q2,2007,32,83.3667263167,7.5034926893,16
Q2,2007,33,72.320349746,10.6123526018,17
Q2,2007,35,14.7657121424,13.3565113056,18
Q2,2007,38,23.6954176042,21.5586114074,19
Q2,2007,42,14.1703980594,23.9398659599,20
Q2,2007,45,39.5704486959,28.3054994545,21
Q2,2007,53,42.4808714706,55.8883666159,22
Q2,2007,55,46.4496293547,57.740454281,23
Q2,2007,56,83.2344341499,71.0697651415,24
Q2,2007,57,86.0125643129,72.5911221673,24
Q2,2007,58,82.0438068736,74.2447713598,24
Q2,2007,60,67.1609645856,74.9062317487,25
Q2,2007,61,83.8958940939,75.1046693315,24
Q2,2007,62,63.9859583673,76.096859025,26
Q2,2007,63,74.370874549,78.0812379671,27
Q2,2007,64,35.8363458417,78.2833550905,28
Q2,2007,65,68.4838840286,78.6104052994,29
Q2,2007,66,65.9703373094,78.8749896329,30
Q2,2007,68,35.7652248147,80.5866443144,31
Q2,2007,69,61.1416814535,82.4468714617,32
Q2,2007,70,67.6901323628,83.9682284875,33
Q2,2007,72,40.165762779,93.9222971547,34
Q2,2007,73,18.1831782882,94.2547456546,35
Q2,2007,74,37.3214863102,95.1129244309,36
Q2,2007,77,37.6522160597,98.0233472056,37
Q2,2007,78,8.9067728916,98.4128161276,38
Q2,2007,80,24.8914596338,98.9936856777,39
Q2,2007,81,2.0118618629,99.2893690261,40
Q2,2007,82,21.3567478395,99.8592478297,41
Q20,2007,1,15.6954064911,92.2610665713,42
Q20,2007,2,27.0464856351,99.1676303188,43
Q20,2007,4,18.1174033706,77.2697552048,44
Q20,2007,7,1.505645575,89.7991188931,45
Q20,2007,9,15.5336425868,60.3935903503,46
Q20,2007,11,32.0482009034,69.3105133559,47
Q20,2007,12,40.5545471412,79.3633395703,48
Q20,2007,69,20.630742708,37.8084267343,49
Q21,2007,0,91.3815064161,22.4183596135,50
Q21,2007,1,85.2086827852,14.3468364428,51
Q21,2007,2,80.0739622443,18.7978530689,52
Q21,2007,3,69.9852092758,13.6320166359,53
Q21,2007,4,61.390477758,17.2020943429,54
Q21,2007,5,56.6629766131,21.2463928377,55
Q21,2007,7,55.2818593697,0.7311553586,56
Q21,2007,21,88.9833008466,52.1217707963,57
Q21,2007,31,17.0782830941,65.9711717327,58
Q21,2007,35,93.5481156273,69.1191019939,59
Q21,2007,36,94.6737627309,98.0454833177,60
Q21,2007,37,88.8967488495,84.7461740545,61
Q21,2007,52,30.7810762682,3.157908871,62
Q21,2007,54,76.8215310921,4.0886457864,63
Q21,2007,56,33.3250902069,5.0193831467,64
Q21,2007,58,34.0076307598,10.5417556596,65
Q21,2007,60,39.7782005251,15.5056855784,66
Q21,2007,70,89.4175041619,33.810179434,67
Q21,2007,73,90.2241426736,49.1363142706,68
Q21,2007,74,40.7709864198,50.067051186,69
Q21,2007,79,34.8763191408,74.7626050457,70
Q21,2007,93,33.8412261062,8.2784641301,71
Q22,2007,0,6.1106501907,93.1141136665,72
Q22,2007,1,15.785435651,94.2550801072,73
Q22,2007,4,15.0534558155,81.0669147114,74
Q22,2007,5,29.5740091223,96.9659591924,75
Q22,2007,7,31.0301077164,75.3800047858,76
Q22,2007,9,3.1350012995,71.1251295884,77
Q22,2007,10,0.5535177037,60.8424241245,78
Q22,2007,12,38.1292052698,67.1294367725,79
Q22,2007,27,9.2652683276,29.8187735043,80
Q22,2007,33,36.7156009337,47.7223973998,81
Q22,2007,36,47.967388048,11.5965673732,82
Q22,2007,37,48.0046675924,45.3601244108,83
Q22,2007,39,69.0963795918,35.5670288328,84
Q22,2007,44,84.8701678979,31.7852971634,85
Q22,2007,50,42.9051822539,1.7825565719,86
Q22,2007,51,9.7945714292,13.4821494917,87
Q22,2007,52,29.4468276338,13.7880207629,88
Q22,2007,53,93.2975450405,20.6701339311,89
Q22,2007,55,11.0945260003,37.5695455803,90
Q22,2007,57,71.0453783589,38.1048208611,91
Q22,2007,58,2.6065860999,38.2577567191,92
Q22,2007,59,4.747687668,38.3342244257,93
Q22,2007,60,4.6712199614,41.9282177577,94
Q22,2007,62,36.7877488211,60.7393269654,95
Q22,2007,63,34.1113715273,62.4980886658,96
Q22,2007,64,7.5005331132,69.533137692,97
Q22,2007,66,12.2415447133,71.2154325757,98
Q22,2007,67,37.5524276665,72.3624512888,99
Q22,2007,70,49.8637635736,97.4439311222,100
Q22,2007,71,42.3079097062,57.7027296453,101
Q23,2007,0,25.0530852794,90.8587635138,102
Q23,2007,5,93.9615756538,71.8999210167,103
Q23,2007,6,65.9100121194,57.9625869407,104
Q23,2007,8,80.4770684302,44.6504069996,105
Q23,2007,9,71.6413075209,32.8585734885,106
Q23,2007,10,59.8400028167,16.051508686,107
Q23,2007,13,46.6959086051,32.8370316766,108
Q23,2007,15,42.1423136942,25.7962673452,109
Q23,2007,17,49.2572801593,12.352544057,110
Q23,2007,18,31.970078524,10.1509040784,111
Q23,2007,20,82.493048823,12.5237990982,112
Q23,2007,28,4.5383044785,13.8875372088,113
Q23,2007,29,3.3753852246,2.4081492137,114
Q23,2007,36,8.5056050929,2.5934216526,115
Q23,2007,37,90.4602947377,2.5934216526,116
Q23,2007,38,88.8442872015,3.3629497499,117
Q23,2007,39,92.8458308162,3.5168551025,118
Q23,2007,43,7.2743604931,6.9027759723,119
Q23,2007,44,77.1474675075,7.9031620984,120
Q23,2007,46,93.1536419662,9.5961232007,121
Q23,2007,47,63.9115925086,11.1351785056,122
Q23,2007,48,65.2967424609,11.6738472394,123
Q23,2007,49,59.0635685652,12.0586115105,124
Q23,2007,50,2.4263369947,12.3664222156,125
Q23,2007,51,10.5063769003,12.5203275681,126
Q23,2007,53,93.7692638212,13.5976668154,127
Q23,2007,54,88.7673340804,13.6746190467,128
Q23,2007,57,2.1185262896,16.4449185065,129
Q23,2007,59,3.5036753521,17.7531157826,130
Q23,2007,60,3.2728173234,19.5230291162,131
Q23,2007,61,78.6865223674,19.5999817925,132
Q23,2007,62,19.8176605158,20.9081786236,133
Q23,2007,63,1.4259513135,20.9851317448,134
Q23,2007,65,35.9007880957,26.2179190695,135
Q23,2007,66,83.0728302532,26.6026833406,136
Q23,2007,67,78.8404286098,27.2183051956,137
Q23,2007,68,71.1451520855,28.0647855243,138
Q23,2007,69,23.8192041305,28.1417386455,139
Q23,2007,70,66.297128587,28.2186908768,140
Q23,2007,71,80.9951053247,28.2186908768,141
Q23,2007,73,12.5071487076,30.142509563,142
Q23,2007,74,7.8130301168,30.6042269553,143
Q23,2007,75,5.4274949281,31.7585184339,144
Q23,2007,76,23.2805349518,32.8358567914,145
Q23,2007,79,24.2039684017,36.2217785511,146
