"quad","year","totCover"
"Q1",2007,58.762963132329
"Q19",2007,0.25
"Q2",2007,259.628159983666
"Q20",2007,47.710932472046
"Q21",2007,84.4618386640795
"Q22",2007,356.222681290956
"Q23",2007,170.31780584717
"Q24",2007,81.4269096223935
"Q26",2007,90.721591720861
"Q3",2007,62.4954230052025
"Q4",2007,191.09830758299
"Q5",2007,18.37244436601
"Q6",2007,135.364513965599
"Q1",2008,44.618080564604
"Q19",2008,14.5465845018195
"Q2",2008,305.140809159378
"Q20",2008,50.435393284779
"Q21",2008,107.551721589797
"Q22",2008,156.055562912006
"Q23",2008,524.76180913062
"Q24",2008,75.095436326183
"Q26",2008,71.2012435241075
"Q3",2008,101.996638292458
"Q4",2008,153.727426168457
"Q5",2008,2.04078453603
"Q6",2008,136.169298098724
"Q1",2009,37.660875891224
"Q19",2009,28.3625101676
"Q2",2009,312.68699785246
"Q20",2009,110.72686640477
"Q21",2009,159.95069142301
"Q22",2009,182.997912233606
"Q23",2009,796.507204552736
"Q24",2009,129.246511120557
"Q26",2009,54.803627187163
"Q3",2009,67.621667010948
"Q4",2009,150.130867985699
"Q5",2009,12.837149376315
"Q6",2009,129.314388307809
"Q1",2010,83.546149106801
"Q19",2010,88.6206272687545
"Q2",2010,356.865192788975
"Q20",2010,133.92517515516
"Q21",2010,89.0926940117705
"Q22",2010,217.232285243865
"Q23",2010,495.717132247376
"Q24",2010,126.41739531439
"Q26",2010,44.2804167960385
"Q3",2010,92.2476737757175
"Q4",2010,311.315396457671
"Q5",2010,9.9319481402685
"Q6",2010,356.911527038991
"Q1",2011,118.353660280804
"Q19",2011,98.52937079569
"Q2",2011,228.125153050993
"Q20",2011,194.216393546245
"Q21",2011,110.61381329204
"Q22",2011,312.577766880397
"Q23",2011,667.354831840783
"Q24",2011,111.726311265062
"Q26",2011,88.4372535330045
"Q27",2011,169.675653676289
"Q28",2011,36.0364974226021
"Q3",2011,79.5531456498205
"Q31",2011,0.0720105
"Q32",2011,75.327860353631
"Q33",2011,228.644011644928
"Q34",2011,0.5
"Q38",2011,8.41149352863798
"Q39",2011,291.034207132301
"Q4",2011,226.239719139068
"Q40",2011,32.926495450586
"Q41",2011,44.022332863119
"Q42",2011,3.182294863847
"Q43",2011,108.306613029206
"Q44",2011,160.457170703678
"Q46",2011,6.52793134360251
"Q47",2011,253.941326844683
"Q48",2011,122.601096450603
"Q49",2011,80.44650882418
"Q5",2011,10.831128880832
"Q50",2011,6.18173971415949
"Q51",2011,85.025578237901
"Q52",2011,473.928515556868
"Q53",2011,21.190979817211
"Q54",2011,279.396180481629
"Q55",2011,6.28522719809501
"Q57",2011,0.25
"Q58",2011,145.659929001246
"Q59",2011,1.948584260298
"Q6",2011,259.766379214791
"Q60",2011,57.4703308183189
"Q61",2011,12.439689522657
"Q62",2011,37.2801716607059
"Q1",2012,127.675388667923
"Q19",2012,206.971211010654
"Q2",2012,429.418885767035
"Q20",2012,289.197269284428
"Q21",2012,200.661468617206
"Q22",2012,370.239304885403
"Q23",2012,1100.42716865086
"Q24",2012,153.778447802582
"Q26",2012,130.821732382933
"Q27",2012,190.907852465759
"Q28",2012,72.123316338481
"Q3",2012,106.317697954284
"Q31",2012,3.723521718457
"Q32",2012,72.319984543771
"Q33",2012,419.163699035964
"Q34",2012,13.741432420394
"Q37",2012,3.0222311295055
"Q38",2012,10.2407004141775
"Q39",2012,361.122706772738
